event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
1130,1st Spanish League (2024 season),2024,2023-12-02,2023-12-03,WAG,junior and senior,International Event,586,,,,
1275,Baborka Cup,2024,,,MAG and WAG,junior and senior,International Event,238,,,,
1294,Brandenburg Cup,2024,,,MAG,senior,International Event,61,,,,
1233,Candadian Championships,2024,,,MAG,junior and senior,International Event,1115,,,,
1309,European Online Series,2024,,,MAG,senior,International Event,87,,,,
1256,European Online Series 2,2024,,,MAG,senior,International Event,145,,,,
1255,European Online Series 3,2024,,,MAG,senior,International Event,108,,,,
1273,Japan Specialist Championships,2024,,,MAG,senior,International Event,47,,,,
1277,Ravenna Junior Friendly,2024,,,MAG,junior,International Event,208,,,,
1305,Rüsselsheim Junior Friendly,2024,,,MAG,junior,International Event,104,,,,
