event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
357,Calgary International Cup,2019,,,MAG,senior,International Event,80,,,,
249,Hungarian Masters,2019,,,MAG and WAG,junior and senior,International Event,245,,,,
273,Iceland Team Championships,2019,,,MAG,senior,International Event,82,,,,
269,Larisa Latynina Cup,2019,,,MAG and WAG,junior and senior,International Event,504,,,,
291,Norweigan Junior Championships,2019,,,MAG,junior,International Event,270,,,,
339,RD761 International Cup,2019,,,MAG,junior,International Event,212,,,,
429,Sarreguemines Cup,2019,,,WAG,junior and senior,International Event,137,,,,
319,Top 12 Semi-Final I,2019,,,MAG,junior and senior,International Event,96,,,,
320,Top 12 Semi-Final II,2019,,,MAG,senior,International Event,96,,,,
258,U.S. Championships D1,2019,,,MAG and WAG,junior and senior,International Event,713,,,,
257,U.S. Championships D2,2019,,,MAG and WAG,junior and senior,International Event,718,,,,
