calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
122,Russian Youth Spartakiade,Jul 7-14,2026-07-07,2026-07-14,,,,1: ID 1660 | Russian Cup | MAG and WAG | 1572 result | confidence 0.449,2: ID 1677 | Russian Championships | MAG and WAG | 1080 result | confidence 0.398,3: ID 1689 | South American Youth Games | MAG and WAG | 515 result | confidence 0.364,4: ID 1718 | Pre-Olympic Youth Cup | WAG | 388 result | confidence 0.353,
124,"La Madeleine MAG Friendly (La Madeleine, France)",Jul 11,2026-07-11,2026-07-11,,,,,,,,
126,Spanish Championships,Jul 13-20,2026-07-13,2026-07-20,,,,1: ID 1717 | Polish Championships | WAG | 425 result | confidence 0.687,2: ID 1610 | English Championships | MAG and WAG | 2732 result | confidence 0.674,3: ID 1607 | Finnish Championships | MAG and WAG | 399 result | confidence 0.674,4: ID 1636 | Asian Championships | MAG and WAG | 1667 result | confidence 0.669,5: ID 1695 | Irish Championships | MAG and WAG | 268 result | confidence 0.669
127,U.S. Classic,Jul 16-20,2026-07-16,2026-07-20,,,,1: ID 1705 | American Classic | WAG | 156 result | confidence 0.488,2: ID 1702 | U.S. Pan Ams Trials | WAG | 100 result | confidence 0.364,,,
128,Dortmund Junior Friendly,Jul 18,2026-07-18,2026-07-18,,,,1: ID 1678 | German Junior Championships | MAG and WAG | 1302 result | confidence 0.401,2: ID 1707 | Romanian Junior Championships | WAG | 173 result | confidence 0.389,3: ID 1667 | Russian Junior Team Championships | MAG and WAG | 2132 result | confidence 0.355,,
129,Nordic Championships,Jul 21-24,2026-07-21,2026-07-24,,,,1: ID 1675 | Norwegian Championships | MAG and WAG | 590 result | confidence 0.661,2: ID 1646 | Icelandic Championships | MAG and WAG | 483 result | confidence 0.661,3: ID 1632 | African Championships | MAG and WAG | 868 result | confidence 0.656,4: ID 1612 | Dutch Championships | MAG and WAG | 803 result | confidence 0.650,5: ID 1695 | Irish Championships | MAG and WAG | 268 result | confidence 0.650
130,German Championships,Jul 23-26,2026-07-23,2026-07-26,,,,1: ID 1678 | German Junior Championships | MAG and WAG | 1302 result | confidence 0.787,2: ID 1677 | Russian Championships | MAG and WAG | 1080 result | confidence 0.656,3: ID 1615 | Mexican Championships | MAG and WAG | 883 result | confidence 0.656,4: ID 1632 | African Championships | MAG and WAG | 868 result | confidence 0.656,5: ID 1679 | Belgian Championships | MAG and WAG | 217 result | confidence 0.656
131,Commonwealth Games,Jul 23-Aug 2,2026-07-23,2026-08-02,,,,1: ID 1669 | Australian Commonwealth Games Trials | MAG and WAG | 154 result | confidence 0.688,2: ID 1689 | South American Youth Games | MAG and WAG | 515 result | confidence 0.365,,,
132,Central American & Caribbean Games,Jul 24-Aug 8,2026-07-24,2026-08-08,,,,1: ID 1689 | South American Youth Games | MAG and WAG | 515 result | confidence 0.456,2: ID 1616 | Pan American Championships | MAG and WAG | 2000 result | confidence 0.365,3: ID 1669 | Australian Commonwealth Games Trials | MAG and WAG | 154 result | confidence 0.351,,
133,Italian Championships,Jul 25-26,2026-07-25,2026-07-26,,,,1: ID 1636 | Asian Championships | MAG and WAG | 1667 result | confidence 0.702,2: ID 1656 | Australian Championships | MAG and WAG | 951 result | confidence 0.694,3: ID 1679 | Belgian Championships | MAG and WAG | 217 result | confidence 0.674,4: ID 1666 | Canadian Championships | MAG and WAG | 1632 result | confidence 0.661,5: ID 1684 | Austrian Championships | MAG and WAG | 397 result | confidence 0.661
