event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
1474,All-Japan Event Championships,2025,,,MAG and WAG,junior and senior,International Event,507,,,,
1497,Biel Junior Friendly,2025,,,MAG,junior,International Event,186,,,,
1604,China Junior National Games,2025,,,WAG,junior,International Event,692,,,,
1600,Dragon Invite National Qualifier,2025,,,WAG,junior and senior,International Event,140,,,,
1538,Dutch Worlds Trials 3,2025,,,MAG,senior,World Championships,5,,,,
1542,EYOF Mixed Pairs,2025,,,MAG and WAG,junior,International Event,56,,,,
1447,European Championships MT,2025,,,MAG and WAG,senior,Continental Championships,56,,,,
1463,European Youth Olymipc Festival,2025,,,MAG,junior,International Event,615,,,,
1537,Hungarian Team Championships,2025,,,MAG,junior and senior,International Event,164,,,,
1573,Japanese National Spots Festival,2025,,,WAG,junior and senior,International Event,1263,,,,
1570,Metroplex National Qualifier,2025,,,WAG,junior and senior,International Event,304,,,,
1566,Saint-Étienne Friendly,2025,,,WAG,senior,International Event,29,,,,
1481,Swiss Worlds Trials,2025,,,MAG,senior,World Championships,43,,,,
