conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,763,Top 12 Series 1,2022,MAG and WAG,junior and senior,199,2022,10,2022,Feb 12,2022-02-12,2022-02-12,Top 12 Series 1 (MAG),,,
1,763,Top 12 Series 1,2022,MAG and WAG,junior and senior,199,2022,33,2022,Mar 26,2022-03-26,2022-03-26,Top 12 Series 1,,,
2,766,Top 12 Series 2,2022,MAG and WAG,junior and senior,204,2022,15,2022,Feb 26,2022-02-26,2022-02-26,Top 12 Series 2 (MAG),,,
2,766,Top 12 Series 2,2022,MAG and WAG,junior and senior,204,2022,45,2022,Apr 9,2022-04-09,2022-04-09,Top 12 Series 2,,,
3,762,Top 12 Series 3,2022,MAG and WAG,junior and senior,203,2022,24,2022,Mar 12,2022-03-12,2022-03-12,Top 12 Series 3 (MAG),,,
3,762,Top 12 Series 3,2022,MAG and WAG,junior and senior,203,2022,59,2022,Apr 30,2022-04-30,2022-04-30,Top 12 Series 3,,,
4,828,1st Bundesliga,2022,MAG and WAG,junior and senior,484,2022,63,2022,May 7,2022-05-07,2022-05-07,1st Bundesliga (MAG),,,
4,828,1st Bundesliga,2022,MAG and WAG,junior and senior,484,2022,75,2022,May 21,2022-05-21,2022-05-21,1st Bundesliga,,,
5,778,2nd Bundesliga,2022,MAG and WAG,junior and senior,482,2022,66,2022,May 14,2022-05-14,2022-05-14,2nd Bundesliga (MAG),,,
5,778,2nd Bundesliga,2022,MAG and WAG,junior and senior,482,2022,120,2022,Jul 2,2022-07-02,2022-07-02,2nd Bundesliga,,,
6,781,3rd Bundesliga,2022,MAG and WAG,junior and senior,486,2022,76,2022,May 21,2022-05-21,2022-05-21,3rd Bundesliga (MAG),,,
6,781,3rd Bundesliga,2022,MAG and WAG,junior and senior,486,2022,170,2022,Oct 1,2022-10-01,2022-10-01,3rd Bundesliga,,,
7,785,4th Bundesliga,2022,MAG and WAG,junior and senior,489,2022,94,2022,Jun 4,2022-06-04,2022-06-04,4th Bundesliga (MAG),,,
7,785,4th Bundesliga,2022,MAG and WAG,junior and senior,489,2022,199,2022,Nov 12,2022-11-12,2022-11-12,4th Bundesliga,,,
