conflict_group,db_event,choice,notes,option_1,option_2,option_3,option_4
1,ID 69 | Top 12 Series 3 | MAG and WAG | 196 result,,,1: calendar row 4 | Jan 27 | Top 12 Series 3 (WAG) | 2018-01-27 to 2018-01-27,2: calendar row 208 | Dec 1 | Top 12 Series 3 (MAG) | 2018-12-01 to 2018-12-01,,
2,ID 8 | Top 12 Series 4 | MAG and WAG | 256 result,,,1: calendar row 22 | Feb 24 | Top 12 Series 4 (WAG) | 2018-02-24 to 2018-02-24,2: calendar row 215 | Dec 15 | Top 12 Series 4 (MAG) | 2018-12-15 to 2018-12-15,,
3,ID 96 | 1st Bundesliga | MAG and WAG | 620 result,,,1: calendar row 28 | Mar 3 | 1st Bundesliga (MAG) | 2018-03-03 to 2018-03-03,2: calendar row 29 | Mar 3-4 | 1st Bundesliga | 2018-03-03 to 2018-03-04,,
4,ID 99 | 2nd Bundesliga | MAG and WAG | 677 result,,,1: calendar row 33 | Mar 10-11 | 2nd Bundesliga (MAG) | 2018-03-10 to 2018-03-11,2: calendar row 41 | Mar 24-25 | 2nd Bundesliga | 2018-03-24 to 2018-03-25,,
5,ID 112 | 3rd Bundesliga | MAG and WAG | 675 result,,,1: calendar row 44 | Mar 31 | 3rd Bundesliga (MAG) | 2018-03-31 to 2018-03-31,2: calendar row 54 | Apr 14-15 | 3rd Bundesliga | 2018-04-14 to 2018-04-15,,
6,ID 111 | 4th Bundesliga | MAG and WAG | 680 result,,,1: calendar row 48 | Apr 7 | 4th Bundesliga (MAG) | 2018-04-07 to 2018-04-07,2: calendar row 197 | Nov 17-18 | 4th Bundesliga | 2018-11-17 to 2018-11-18,,
7,ID 102 | Top 12 Series 1 | MAG and WAG | 202 result,,,1: calendar row 186 | Nov 10 | Top 12 Series 1 (MAG) | 2018-11-10 to 2018-11-10,2: calendar row 202 | Nov 24 | Top 12 Series 1 | 2018-11-24 to 2018-11-24,,
8,ID 107 | Top 12 Series 2 | MAG and WAG | 204 result,,,1: calendar row 196 | Nov 17 | Top 12 Series 2 (MAG) | 2018-11-17 to 2018-11-17,2: calendar row 212 | Dec 8 | Top 12 Series 2 | 2018-12-08 to 2018-12-08,,
