event_id,name,year,start_date,end_date,discipline,category,current_level,result_count,decision,notes
745,COMEGYM Championships,2022,2022-06-02,2022-06-04,MAG and WAG,junior,International Event,419,keep International Event,Admin decision: confirmed as International Event despite domestic-looking wording.
203,Klaverblad Championships,2018,2018-06-09,2018-06-10,WAG,junior and senior,International Event,105,keep International Event,Admin decision: confirmed as International Event despite domestic-looking wording.
176,Liepaja Championships,2018,2018-05-25,2018-05-26,WAG,junior and senior,International Event,178,keep International Event,Admin decision: confirmed as International Event despite domestic-looking wording.
1223,Platinum League Online,2024,2024-11-21,2024-11-23,MAG and WAG,junior and senior,International Event,154,keep International Event,Admin decision: confirmed as International Event despite domestic-looking wording.
