conflict_group,db_event,choice,notes,option_1,option_2,option_3,option_4
1,ID 225 | Elite Canada | MAG and WAG | 819 result,,,1: calendar row 5 | Feb 1-3 | Elite Canada | 2019-02-01 to 2019-02-03,2: calendar row 143 | Jul 17-20 | Elite Canada (MAG) | 2019-07-17 to 2019-07-20,,
2,ID 316 | Top 12 Series 3 | MAG and WAG | 203 result,,,1: calendar row 15 | Feb 16 | Top 12 Series 3 | 2019-02-16 to 2019-02-16,2: calendar row 221 | Nov 16 | Top 12 Series 3 (MAG) | 2019-11-16 to 2019-11-16,,
3,ID 311 | 1st Bundesliga | MAG and WAG | 670 result,,,1: calendar row 28 | Mar 2 | 1st Bundesliga (MAG) | 2019-03-02 to 2019-03-02,2: calendar row 31 | Mar 2-3 | 1st Bundesliga | 2019-03-02 to 2019-03-03,,
4,ID 313 | 2nd Bundesliga | MAG and WAG | 668 result,,,1: calendar row 37 | Mar 9-10 | 2nd Bundesliga (MAG) | 2019-03-09 to 2019-03-10,2: calendar row 80 | May 11-12 | 2nd Bundesliga | 2019-05-11 to 2019-05-12,,
5,ID 312 | 3rd Bundesliga | MAG and WAG | 672 result,,,1: calendar row 71 | Apr 27-28 | 3rd Bundesliga (MAG) | 2019-04-27 to 2019-04-28,2: calendar row 209 | Nov 2-3 | 3rd Bundesliga | 2019-11-02 to 2019-11-03,,
6,ID 310 | 4th Bundesliga | MAG and WAG | 672 result,,,1: calendar row 193 | Oct 19 | 4th Bundesliga (MAG) | 2019-10-19 to 2019-10-19,2: calendar row 224 | Nov 16-17 | 4th Bundesliga | 2019-11-16 to 2019-11-17,,
7,ID 248 | Top 12 Series 1 | MAG and WAG | 171 result,,,1: calendar row 197 | Oct 26 | Top 12 Series 1 (MAG) | 2019-10-26 to 2019-10-26,2: calendar row 234 | Nov 30 | Top 12 Series 1 | 2019-11-30 to 2019-11-30,,
8,ID 318 | Top 12 Series 2 | MAG and WAG | 199 result,,,1: calendar row 214 | Nov 9 | Top 12 Series 2 (MAG) | 2019-11-09 to 2019-11-09,2: calendar row 240 | Dec 7 | Top 12 Series 2 | 2019-12-07 to 2019-12-07,,
