metric,value
year,2019
calendar_rows,244
calendar_matched_rows,231
calendar_unmatched_rows,13
calendar_rows_matching_multiple_db_events,0
db_events,233
db_matched_events,222
db_unmatched_events,11
db_unmatched_events_with_results,11
db_events_matched_by_multiple_calendar_rows,9
matched_event_source_conflicts,8
duplicate_source_rows,0
calendar_minus_db_unmatched_delta,2
source_issues,0
