event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
1474,All-Japan Event Championships,MAG and WAG,junior and senior,International Event,507,,,1: row 63 | Apr 17-20 | All-Japan Championships | 2025-04-17 to 2025-04-20 | confidence 0.808,2: row 151 | Aug 19-22 | All-Japan Student Championships | 2025-08-19 to 2025-08-22 | confidence 0.760,3: row 157 | Sep 6 | All-Japan Senior Championships | 2025-09-06 to 2025-09-06 | confidence 0.748,4: row 207 | Nov 13-16 | All-Japan Team Championships | 2025-11-13 to 2025-11-16 | confidence 0.745,5: row 149 | Aug 12-17 | All-Japan Junior Championships | 2025-08-12 to 2025-08-17 | confidence 0.726
1497,Biel Junior Friendly,MAG,junior,International Event,186,,,1: row 136 | Jul 5 | Biel Junior Men's Friendly | 2025-07-05 to 2025-07-05 | confidence 0.828,2: row 129 | Jun 28 | Sens Junior Friendly | 2025-06-28 to 2025-06-28 | confidence 0.728,3: row 128 | Jun 28 | Givet Friendly | 2025-06-28 to 2025-06-28 | confidence 0.508,4: row 88 | May 10 | Prievidza Friendly | 2025-05-10 to 2025-05-10 | confidence 0.498,5: row 87 | May 10 | Magglingen Friendly | 2025-05-10 to 2025-05-10 | confidence 0.488
1604,China Junior National Games,WAG,junior,International Event,692,,,1: row 156 | Sep 5-10 | Chinese Junior National Games | 2025-09-05 to 2025-09-10 | confidence 0.814,2: row 11 | Feb 8-13 | Indian National Games | 2025-02-08 to 2025-02-13 | confidence 0.655,3: row 206 | Nov 10-17 | Chinese National Games | 2025-11-10 to 2025-11-17 | confidence 0.644,4: row 150 | Aug 19-22 | Junior Pan American Games | 2025-08-19 to 2025-08-22 | confidence 0.542,5: row 38 | Mar 21 | Finnish National Team Test | 2025-03-21 to 2025-03-21 | confidence 0.492
1600,Dragon Invite National Qualifier,WAG,junior and senior,International Event,140,,,1: row 8 | Feb 6-9 | Dragion Invitational National Qualifier | 2025-02-06 to 2025-02-09 | confidence 0.684,2: row 78 | Apr 26-27 | GAGE National Qualifier | 2025-04-26 to 2025-04-27 | confidence 0.660,3: row 30 | Mar 13-16 | KPAC National Qualifier | 2025-03-13 to 2025-03-16 | confidence 0.613,4: row 7 | Jan 30-Feb 2 | Buckeye National Qualifier | 2025-01-30 to 2025-02-02 | confidence 0.588,5: row 3 | Jan 16-19 | Vegas Cup National Qualifier | 2025-01-16 to 2025-01-19 | confidence 0.572
1538,Dutch Worlds Trials 3,MAG,senior,World Championships,5,,,1: row 163 | Sep 13 | Dutch Worlds Trials | 2025-09-13 to 2025-09-13 | confidence 0.960,2: row 173 | Sep 27 | Dutch Worlds Trials 2 | 2025-09-27 to 2025-09-27 | confidence 0.829,3: row 67 | Apr 25 | Dutch Euros Trials | 2025-04-25 to 2025-04-25 | confidence 0.640,4: row 175 | Sep 30-Oct 1 | U.S. Worlds Trials | 2025-09-30 to 2025-10-01 | confidence 0.640,5: row 153 | Aug 30 | British Worlds Trials | 2025-08-30 to 2025-08-30 | confidence 0.635
1542,EYOF Mixed Pairs,MAG and WAG,junior,International Event,56,,,1: row 44 | Mar 29 | DTB Pokal Mixed Cup | 2025-03-29 to 2025-03-29 | confidence 0.393,2: row 139 | Jul 9 | EYOF Preparation Event | 2025-07-09 to 2025-07-09 | confidence 0.378,,,
1447,European Championships MT,MAG and WAG,senior,Continental Championships,56,,,1: row 99 | May 26-31 | European Championships | 2025-05-26 to 2025-05-31 | confidence 0.922,2: row 189 | Oct 24-26 | Northern European Championships | 2025-10-24 to 2025-10-26 | confidence 0.686,3: row 145 | Jul 31-Aug 3 | German Championships | 2025-07-31 to 2025-08-03 | confidence 0.608,4: row 142 | Jul 18 | Hopes Championships | 2025-07-18 to 2025-07-18 | confidence 0.590,5: row 75 | Apr 26-27 | Austrian Championships | 2025-04-26 to 2025-04-27 | confidence 0.585
1463,European Youth Olymipc Festival,MAG,junior,International Event,615,,,1: row 144 | Jul 20-26 | European Youth Olympic Festival | 2025-07-20 to 2025-07-26 | confidence 0.839,2: row 99 | May 26-31 | European Championships | 2025-05-26 to 2025-05-31 | confidence 0.413,3: row 170 | Sep 25-27 | Korean National Sports Festival | 2025-09-25 to 2025-09-27 | confidence 0.385,4: row 162 | Sep 12-15 | Japanese National Sports Festival | 2025-09-12 to 2025-09-15 | confidence 0.355,5: row 189 | Oct 24-26 | Northern European Championships | 2025-10-24 to 2025-10-26 | confidence 0.352
1537,Hungarian Team Championships,MAG,junior and senior,International Event,164,,,1: row 73 | Apr 26-27 | Hungarian Championships | 2025-04-26 to 2025-04-27 | confidence 0.820,2: row 167 | Sep 20-21 | Hungarian Team & Event Championships | 2025-09-20 to 2025-09-21 | confidence 0.762,3: row 166 | Sep 20 | Austrian Team Championships | 2025-09-20 to 2025-09-20 | confidence 0.742,4: row 106 | May 31-Jun 1 | Hungarian Junior Championships | 2025-05-31 to 2025-06-01 | confidence 0.713,5: row 131 | Jun 28-29 | Danish Team Championships | 2025-06-28 to 2025-06-29 | confidence 0.690
1573,Japanese National Spots Festival,WAG,junior and senior,International Event,1263,,,1: row 162 | Sep 12-15 | Japanese National Sports Festival | 2025-09-12 to 2025-09-15 | confidence 0.850,2: row 170 | Sep 25-27 | Korean National Sports Festival | 2025-09-25 to 2025-09-27 | confidence 0.653,3: row 206 | Nov 10-17 | Chinese National Games | 2025-11-10 to 2025-11-17 | confidence 0.444,4: row 38 | Mar 21 | Finnish National Team Test | 2025-03-21 to 2025-03-21 | confidence 0.431,5: row 11 | Feb 8-13 | Indian National Games | 2025-02-08 to 2025-02-13 | confidence 0.402
