calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
2,RD761 Junior International Cup,Jan 18-20,2019-01-18,2019-01-20,,,,1: ID 339 | RD761 International Cup | MAG | 212 result | confidence 0.827,2: ID 357 | Calgary International Cup | MAG | 80 result | confidence 0.589,3: ID 215 | International Junior Team Cup | MAG | 1168 result | confidence 0.585,4: ID 360 | Tournoi International | WAG | 383 result | confidence 0.503,5: ID 409 | German Junior Cup | WAG | 306 result | confidence 0.472
16,Top 12 Semi-Finals I (MAG),Feb 16,2019-02-16,2019-02-16,,,,1: ID 383 | Top 12 Semi-Finals | WAG | 161 result | confidence 0.834,2: ID 319 | Top 12 Semi-Final I | MAG | 96 result | confidence 0.736,3: ID 320 | Top 12 Semi-Final II | MAG | 96 result | confidence 0.649,4: ID 317 | Top 12 Finals | MAG and WAG | 124 result | confidence 0.561,5: ID 316 | Top 12 Series 3 | MAG and WAG | 203 result | confidence 0.490
27,Top 12 Semi-Finals II (MAG),Mar 2,2019-03-02,2019-03-02,,,,1: ID 383 | Top 12 Semi-Finals | WAG | 161 result | confidence 0.822,2: ID 320 | Top 12 Semi-Final II | MAG | 96 result | confidence 0.740,3: ID 319 | Top 12 Semi-Final I | MAG | 96 result | confidence 0.649,4: ID 317 | Top 12 Finals | MAG and WAG | 124 result | confidence 0.550,5: ID 316 | Top 12 Series 3 | MAG and WAG | 203 result | confidence 0.480
43,U of Calgary International Cup,Mar 15-17,2019-03-15,2019-03-17,,,,1: ID 357 | Calgary International Cup | MAG | 80 result | confidence 0.881,2: ID 339 | RD761 International Cup | MAG | 212 result | confidence 0.583,3: ID 406 | GymStars International | WAG | 205 result | confidence 0.483,4: ID 215 | International Junior Team Cup | MAG | 1168 result | confidence 0.475,5: ID 354 | Toyota International | MAG and WAG | 119 result | confidence 0.474
60,Zelena Jama Open,Apr 6,2019-04-06,2019-04-06,,,,1: ID 307 | Austrian Team Open | MAG and WAG | 245 result | confidence 0.376,,,,
75,Russian Junior Men's Championships,May 6-11,2019-05-06,2019-05-11,,,,1: ID 301 | Russian Junior Championships | MAG and WAG | 2054 result | confidence 0.850,2: ID 245 | Swedish Junior Men's Championships | MAG | 88 result | confidence 0.764,3: ID 420 | Austrian Junior Championships | WAG | 67 result | confidence 0.677,4: ID 302 | Russian Championships | MAG and WAG | 1316 result | confidence 0.671,5: ID 391 | Romanian Junior Championships | WAG | 207 result | confidence 0.656
85,Nordic Junior Men's Championships,May 18-19,2019-05-18,2019-05-19,,,,1: ID 214 | Nordic Junior Championships | MAG and WAG | 558 result | confidence 0.848,2: ID 245 | Swedish Junior Men's Championships | MAG | 88 result | confidence 0.773,3: ID 424 | Norwegian Junior Championships | WAG | 502 result | confidence 0.656,4: ID 291 | Norweigan Junior Championships | MAG | 270 result | confidence 0.656,5: ID 425 | Danish Junior Championships | WAG | 303 result | confidence 0.638
129,Sarruguemines Cup,Jun 21-22,2019-06-21,2019-06-22,,,,1: ID 429 | Sarreguemines Cup | WAG | 137 result | confidence 0.728,2: ID 303 | Russian Cup | MAG and WAG | 768 result | confidence 0.488,3: ID 397 | Swedish Cup | WAG | 154 result | confidence 0.488,4: ID 347 | American Cup | MAG and WAG | 94 result | confidence 0.475,5: ID 325 | Swiss Cup | MAG and WAG | 52 result | confidence 0.467
152,U.S. Championships,Aug 8-11,2019-08-08,2019-08-11,,,,1: ID 257 | U.S. Championships D2 | MAG and WAG | 718 result | confidence 0.913,2: ID 258 | U.S. Championships D1 | MAG and WAG | 713 result | confidence 0.913,3: ID 274 | GK Championships | MAG and WAG | 279 result | confidence 0.652,4: ID 302 | Russian Championships | MAG and WAG | 1316 result | confidence 0.650,5: ID 227 | Turkish Championships | MAG and WAG | 482 result | confidence 0.650
195,Hungarian Master Championships,Oct 25-26,2019-10-25,2019-10-26,,,,1: ID 244 | Hungarian Championships | MAG and WAG | 166 result | confidence 0.797,2: ID 242 | Hungarian National League Championships | MAG and WAG | 72 result | confidence 0.649,3: ID 340 | Lithuanian Championships | MAG and WAG | 213 result | confidence 0.569,4: ID 234 | Asian Championships | MAG and WAG | 782 result | confidence 0.565,5: ID 226 | Canadian Championships | MAG and WAG | 915 result | confidence 0.562
211,Brazilian Junior Championships,Nov 5-10,2019-11-05,2019-11-10,,,,1: ID 292 | Brazilian Championships | MAG and WAG | 967 result | confidence 0.797,2: ID 391 | Romanian Junior Championships | WAG | 207 result | confidence 0.748,3: ID 301 | Russian Junior Championships | MAG and WAG | 2054 result | confidence 0.735,4: ID 326 | Brazilian Event Championships | MAG and WAG | 376 result | confidence 0.726,5: ID 420 | Austrian Junior Championships | WAG | 67 result | confidence 0.726
239,Latynina Cup,Dec 1-5,2019-12-01,2019-12-05,,,,1: ID 269 | Larisa Latynina Cup | MAG and WAG | 504 result | confidence 0.817,2: ID 382 | Slovenian Cup | WAG | 103 result | confidence 0.533,3: ID 353 | Lingvallen Cup | MAG | 112 result | confidence 0.517,4: ID 277 | Voronin Cup | MAG and WAG | 728 result | confidence 0.512,5: ID 388 | Gymnova Cup | WAG | 319 result | confidence 0.512
242,1st Spanish League (2020 season),Dec 7-8,2019-12-07,2019-12-08,,,,1: ID 372 | 1st Spanish League | WAG | 546 result | confidence 0.768,2: ID 375 | Spanish League Finals | WAG | 498 result | confidence 0.517,3: ID 374 | 2nd Spanish League | WAG | 540 result | confidence 0.515,4: ID 371 | 3rd Spanish League | WAG | 534 result | confidence 0.515,
