event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
148,Buckeye Qualifier,2018,,,WAG,junior and senior,International Event,250,,,,
82,DTB Team Challenge,2018,,,MAG,senior,International Event,403,,,,
146,Desert Lights Qualifier,2018,,,WAG,junior and senior,International Event,324,,,,
97,German Worlds Trial,2018,,,MAG and WAG,senior,World Championships,139,,,,
54,Houston National Invite,2018,,,MAG,senior,International Event,57,,,,
64,Junior Pan Am Championships,2018,,,MAG,junior,International Event,358,,,,
149,Orlando Qualifier,2018,,,WAG,junior and senior,International Event,260,,,,
43,RD761 Junior International Cup,2018,,,MAG,junior,International Event,298,,,,
129,Swiss Duel,2018,,,MAG and WAG,junior and senior,International Event,32,,,,
119,Top 12 Final,2018,,,MAG and WAG,junior and senior,International Event,128,,,,
104,Top 12 Semi-Final 1,2018,,,MAG,senior,International Event,96,,,,
74,U.S. Men's World Team Selection,2018,,,MAG,senior,International Event,96,,,,
155,U.S. Verification (April),2018,,,WAG,junior and senior,International Event,114,,,,
117,Ukraine Open Cup,2018,,,MAG,senior,International Event,64,,,,
