conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,225,Elite Canada,2019,MAG and WAG,junior and senior,819,2019,5,2019,Feb 1-3,2019-02-01,2019-02-03,Elite Canada,,,
1,225,Elite Canada,2019,MAG and WAG,junior and senior,819,2019,143,2019,Jul 17-20,2019-07-17,2019-07-20,Elite Canada (MAG),,,
2,316,Top 12 Series 3,2019,MAG and WAG,junior and senior,203,2019,15,2019,Feb 16,2019-02-16,2019-02-16,Top 12 Series 3,,,
2,316,Top 12 Series 3,2019,MAG and WAG,junior and senior,203,2019,221,2019,Nov 16,2019-11-16,2019-11-16,Top 12 Series 3 (MAG),,,
3,311,1st Bundesliga,2019,MAG and WAG,junior and senior,670,2019,28,2019,Mar 2,2019-03-02,2019-03-02,1st Bundesliga (MAG),,,
3,311,1st Bundesliga,2019,MAG and WAG,junior and senior,670,2019,31,2019,Mar 2-3,2019-03-02,2019-03-03,1st Bundesliga,,,
4,313,2nd Bundesliga,2019,MAG and WAG,junior and senior,668,2019,37,2019,Mar 9-10,2019-03-09,2019-03-10,2nd Bundesliga (MAG),,,
4,313,2nd Bundesliga,2019,MAG and WAG,junior and senior,668,2019,80,2019,May 11-12,2019-05-11,2019-05-12,2nd Bundesliga,,,
5,312,3rd Bundesliga,2019,MAG and WAG,junior and senior,672,2019,71,2019,Apr 27-28,2019-04-27,2019-04-28,3rd Bundesliga (MAG),,,
5,312,3rd Bundesliga,2019,MAG and WAG,junior and senior,672,2019,209,2019,Nov 2-3,2019-11-02,2019-11-03,3rd Bundesliga,,,
6,310,4th Bundesliga,2019,MAG and WAG,junior and senior,672,2019,193,2019,Oct 19,2019-10-19,2019-10-19,4th Bundesliga (MAG),,,
6,310,4th Bundesliga,2019,MAG and WAG,junior and senior,672,2019,224,2019,Nov 16-17,2019-11-16,2019-11-17,4th Bundesliga,,,
7,248,Top 12 Series 1,2019,MAG and WAG,junior and senior,171,2019,197,2019,Oct 26,2019-10-26,2019-10-26,Top 12 Series 1 (MAG),,,
7,248,Top 12 Series 1,2019,MAG and WAG,junior and senior,171,2019,234,2019,Nov 30,2019-11-30,2019-11-30,Top 12 Series 1,,,
8,318,Top 12 Series 2,2019,MAG and WAG,junior and senior,199,2019,214,2019,Nov 9,2019-11-09,2019-11-09,Top 12 Series 2 (MAG),,,
8,318,Top 12 Series 2,2019,MAG and WAG,junior and senior,199,2019,240,2019,Dec 7,2019-12-07,2019-12-07,Top 12 Series 2,,,
