review_id,problem_type,severity,message,source_sheet,source_row,event_name,year,athlete_name,country,discipline,category,apparatus,vt_attempt,day,format,round,D_score,vault_attempt_order_uncertain,suggestion_count,top_suggestion_id,top_suggestion_type,top_suggestion_confidence,top_suggestion_message,top_target_event_name,top_target_year,top_target_athlete_name,top_target_country,top_target_discipline,top_target_category,top_target_apparatus,top_target_vt_attempt,top_target_day,top_target_format,top_target_round,top_target_score,top_target_D_score,top_target_source_sheet,top_target_source_row,all_suggestions_json
orphan_3172f2566905a165,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,FX,,,individual,final,4.1,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_e327ab6615fa4397,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,HB,,,individual,final,3.6,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_7640a521cc3bb4a4,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,PB,,,individual,final,3.9,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_31426afaa80737ca,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,PH,,,individual,final,3.1,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_665900a6e2d89eb1,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,SR,,,individual,final,4.1,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_fcf2f5183c67067e,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,111,Icelandic Team Championships,2021,Agust Davidsson,ISL,MAG,senior,VT,1,,individual,final,4.0,True,0,,,,,,,,,,,,,,,,,,,,[]
orphan_b50a8641f2900c89,athlete_missing_in_score_sheet,review,"The event/apparatus/context exists, but this athlete is missing in the score sheet.",MAG D,112,GK Championships,2021,Agust Davidsson,ISL,MAG,junior,PH,,,individual,final,3.3,False,0,,,,,,,,,,,,,,,,,,,,[]
orphan_af12dfddf4ad7abd,possible_context_mismatch,review,"Possible format, round, or day mismatch.",MAG D,114,Icelandic Championships,2021,Agust Davidsson,ISL,MAG,junior,VT,2,,individual,final,2.4,True,1,suggestion_f73fbb082fd0c68d,context_correction,0.65,"Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different.",Icelandic Championships,2021,Agust Davidsson,ISL,MAG,junior,VT,2,,apparatus,final,11.15,2.4,MAG,114,"[{""suggestion_id"": ""suggestion_f73fbb082fd0c68d"", ""suggestion_type"": ""context_correction"", ""confidence"": 0.65, ""message"": ""Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""format"": {""from"": ""individual"", ""to"": ""apparatus""}, ""round"": {""from"": ""final"", ""to"": ""final""}, ""day"": {""from"": null, ""to"": null}}, ""target_result"": {""event_name"": ""Icelandic Championships"", ""year"": 2021, ""athlete_name"": ""Agust Davidsson"", ""country"": ""ISL"", ""discipline"": ""MAG"", ""category"": ""junior"", ""apparatus"": ""VT"", ""vt_attempt"": 2, ""day"": null, ""format"": ""apparatus"", ""round"": ""final"", ""score"": 11.15, ""D_score"": 2.4, ""vault_attempt_order_uncertain"": true, ""source_sheet"": ""MAG"", ""source_row"": 114, ""target_id"": ""target_bd9382ac403e503e""}}]"
orphan_4e10f5527383c729,possible_context_mismatch,review,"Possible format, round, or day mismatch.",MAG D,134,Doha World Cup,2021,Ahmet Önder,TUR,MAG,senior,PH,,,apparatus,final,5.8,False,1,suggestion_ef0a8ceed7364660,context_correction,0.65,"Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different.",Doha World Cup,2021,Ahmet Önder,TUR,MAG,senior,PH,,,individual,qualification,12.7,5.8,MAG,138,"[{""suggestion_id"": ""suggestion_ef0a8ceed7364660"", ""suggestion_type"": ""context_correction"", ""confidence"": 0.65, ""message"": ""Same athlete/event/apparatus exists in the score sheet, but format, round, or day is different."", ""action"": ""attach_d_score_to_target_result"", ""changes"": {""format"": {""from"": ""apparatus"", ""to"": ""individual""}, ""round"": {""from"": ""final"", ""to"": ""qualification""}, ""day"": {""from"": null, ""to"": null}}, ""target_result"": {""event_name"": ""Doha World Cup"", ""year"": 2021, ""athlete_name"": ""Ahmet Önder"", ""country"": ""TUR"", ""discipline"": ""MAG"", ""category"": ""senior"", ""apparatus"": ""PH"", ""vt_attempt"": null, ""day"": null, ""format"": ""individual"", ""round"": ""qualification"", ""score"": 12.7, ""D_score"": 5.8, ""vault_attempt_order_uncertain"": false, ""source_sheet"": ""MAG"", ""source_row"": 138, ""target_id"": ""target_6e44f3b599d26ac6""}}]"
orphan_81be6ea3f12aa668,missing_final_score_for_context,review,"The athlete/event exists, but not this apparatus/context.",MAG D,208,Norwegian Junior Championships,2021,Aleksander Lundekvam,NOR,MAG,junior,VT,2,,individual,final,2.4,True,0,,,,,,,,,,,,,,,,,,,,[]
