metric,value
year,2025
calendar_rows,227
db_events,224
calendar_unmatched_rows,0
db_unmatched_events,0
db_matched_events,224
db_only_events,1
calendar_only_rows,0
season_year_spillover_entries,1
cross_year_calendar_entries,0
source_issues,0
