review_id,target_athlete_id,current_first_name,current_last_name,corrected_first_name,corrected_last_name,reason
athlete_match_276aa7a173731fb4,1147,Hirohito,Obama,Hirohito,Kohama,admin_verified_existing_db_name_typo
athlete_match_77a584561295dc9b,676,Dawiel,Carrion,Daniel,Carrion,admin_verified_existing_db_name_typo
athlete_match_a5494adb3722ca81,8849,Yuta,Sasaki,Yutaro,Sasaki,admin_verified_existing_db_name_typo
athlete_match_584a12575e91a47d,8915,Ai,Takada,Airi,Takada,admin_verified_existing_db_name_typo
athlete_match_0b941e053a9161e9,1180,Hung,Yuang-His,Hung,Yuan-Hsi,admin_verified_existing_db_name_typo
