metric,value
year,2022
calendar_rows,228
db_events,215
calendar_unmatched_rows,0
db_unmatched_events,0
db_matched_events,215
db_only_events,0
calendar_only_rows,0
season_year_spillover_entries,0
cross_year_calendar_entries,0
source_issues,0
