source_event_id,source_event_name,source_event_deleted,target_event_id,target_event_name,year,moved_results,target_event_mixed_team_results,new_format,round,decision
1447,European Championships MT,True,1443,European Championships,2025,56,56,mixed team,final,MT suffix means Mixed Team and is not part of the event name
1686,Chinese Championships MT,True,1696,Chinese Championships,2026,72,72,mixed team,final,MT suffix means Mixed Team; Chinese Junior Championships calendar entry left unmatched
