event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
739,1st Bundlesiga League 2,MAG,junior and senior,International Event,396,,,1: row 157 | Sep 24 | 1st Bundesliga League 2 (MAG) | 2022-09-24 to 2022-09-24 | confidence 0.736,2: row 184 | Oct 15 | 4th Bundesliga League 2 (MAG) | 2022-10-15 to 2022-10-15 | confidence 0.610,3: row 187 | Oct 22 | 5th Bundesliga League 2 (MAG) | 2022-10-22 to 2022-10-22 | confidence 0.610,4: row 189 | Oct 29 | 6th Bundesliga League 2 (MAG) | 2022-10-29 to 2022-10-29 | confidence 0.610,5: row 201 | Nov 12 | 7th Bundesliga League 2 (MAG) | 2022-11-12 to 2022-11-12 | confidence 0.610
788,2nd Bundlesiga League 2,MAG,junior and senior,International Event,347,,,1: row 171 | Oct 1 | 2nd Bundesliga League 2 (MAG) | 2022-10-01 to 2022-10-01 | confidence 0.736,2: row 177 | Oct 8 | 3rd Bundesliga League 2 (MAG) | 2022-10-08 to 2022-10-08 | confidence 0.610,3: row 157 | Sep 24 | 1st Bundesliga League 2 (MAG) | 2022-09-24 to 2022-09-24 | confidence 0.584,4: row 184 | Oct 15 | 4th Bundesliga League 2 (MAG) | 2022-10-15 to 2022-10-15 | confidence 0.584,5: row 187 | Oct 22 | 5th Bundesliga League 2 (MAG) | 2022-10-22 to 2022-10-22 | confidence 0.584
852,EYOF Mixed Pairs,MAG and WAG,junior,International Event,78,,,1: row 30 | Mar 20 | DTB Pokal Mixed Cup | 2022-03-20 to 2022-03-20 | confidence 0.393,,,,
835,Mogilev Friendly,MAG,junior and senior,International Event,233,,,1: row 192 | Oct 31-Nov 3 | Mogilev Men's Friendly | 2022-10-31 to 2022-11-03 | confidence 0.781,2: row 141 | Jul 23 | Magglingen Friendly | 2022-07-23 to 2022-07-23 | confidence 0.600,3: row 135 | Jul 16 | Ghent Friendly | 2022-07-16 to 2022-07-16 | confidence 0.593,4: row 140 | Jul 23 | Sedan Friendly | 2022-07-23 to 2022-07-23 | confidence 0.550,5: row 159 | Sep 24-25 | Istanbul Friendly | 2022-09-24 to 2022-09-25 | confidence 0.550
848,Swiss Euros Trials,MAG,senior,International Event,73,,,1: row 105 | Jun 17 | Swiss Men's Euros Trials | 2022-06-17 to 2022-06-17 | confidence 0.820,2: row 134 | Jul 15 | Swiss Men's Euros Trials 2 | 2022-07-15 to 2022-07-15 | confidence 0.742,3: row 169 | Oct 1 | Swiss Men's Worlds Trials 1 | 2022-10-01 to 2022-10-01 | confidence 0.579,4: row 175 | Oct 8 | Swiss Men's Worlds Trials 2 | 2022-10-08 to 2022-10-08 | confidence 0.579,5: row 38 | Apr 1 | Finnish Men's Euros Trials 1 | 2022-04-01 to 2022-04-01 | confidence 0.569
864,U.S. Pan Ams Selection Camp,MAG,senior,International Event,53,,,1: row 95 | Jun 4-8 | U.S. Pan Ams Men's Selection Camp | 2022-06-04 to 2022-06-08 | confidence 0.877,2: row 123 | Jul 4-5 | U.S. Pan Ams Trials | 2022-07-04 to 2022-07-05 | confidence 0.571,3: row 37 | Mar 31-Apr 3 | March U.S. National Team Camp | 2022-03-31 to 2022-04-03 | confidence 0.436,4: row 89 | Jun 1 | Chinese Selection Meet | 2022-06-01 to 2022-06-01 | confidence 0.395,5: row 149 | Aug 18-21 | U.S. Championships | 2022-08-18 to 2022-08-21 | confidence 0.376
