cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Other named international meets,114,2018,Africa Safari International,2018-07-20,2018-07-21,MAG and WAG,junior and senior,International Event,,,227
Regional or sub-continental events,20,2018,Central American & Caribbean Games,2018-07-20,2018-07-24,MAG and WAG,senior,International Event,,,688
Preparation / test / friendly events,110,2018,Baiersbronn Men's Friendly,2018-07-21,2018-07-21,MAG,senior,International Event,,,91
Preparation / test / friendly events,29,2018,Budapest Men's Friendly,2018-07-21,2018-07-21,MAG,senior,International Event,,,81
Cups / opens / trophies / invitationals,145,2018,U.S. Classic,2018-07-28,2018-07-28,WAG,junior and senior,International Event,,,310
Games / festivals / multi-sport events,13,2018,Asian Games,2018-08-18,2018-09-02,MAG and WAG,senior,International Event,,,1017
Cups / opens / trophies / invitationals,167,2018,Australian Classic,2018-09-14,2018-09-17,WAG,junior and senior,International Event,,,288
Regional or sub-continental events,205,2018,Junior Mediterranean Championships,2018-09-19,2018-09-23,WAG,junior,International Event,,,167
Other named international meets,74,2018,U.S. Men's World Team Selection,2018-09-20,2018-09-22,MAG,senior,International Event,,,96
Cups / opens / trophies / invitationals,78,2018,Wohnen Juniors Trophy,2018-09-22,2018-09-23,MAG,senior,International Event,,,191
Preparation / test / friendly events,118,2018,Ghent Men's Friendly,2018-10-06,2018-10-06,MAG,senior,International Event,,,119
Cups / opens / trophies / invitationals,153,2018,Leverkusen Cup,2018-10-06,2018-10-06,WAG,junior and senior,International Event,,,135
Preparation / test / friendly events,207,2018,Varsenare Friendly,2018-10-06,2018-10-06,WAG,senior,International Event,,,86
Cups / opens / trophies / invitationals,202,2018,VTB Cup,2018-10-11,2018-10-16,WAG,senior,International Event,,,20
Cups / opens / trophies / invitationals,198,2018,Kiev Open Cup,2018-10-13,2018-10-13,WAG,junior,International Event,,,55
Preparation / test / friendly events,200,2018,Rüsselsheim Friendly,2018-10-13,2018-10-13,WAG,senior,International Event,,,101
Cups / opens / trophies / invitationals,117,2018,Ukraine Open Cup,2018-10-13,2018-10-13,MAG,senior,International Event,,,64
Regional or sub-continental events,63,2018,South American Junior Championships,2018-10-17,2018-10-21,MAG and WAG,junior,International Event,,,351
Cups / opens / trophies / invitationals,25,2018,Salamunov Memorial,2018-10-19,2018-10-21,MAG and WAG,junior and senior,International Event,,,414
Cups / opens / trophies / invitationals,169,2018,Gymnova Cup,2018-11-09,2018-11-10,WAG,junior and senior,International Event,,,283
Other named international meets,168,2018,Tournoi International,2018-11-10,2018-11-11,WAG,junior,International Event,,,440
Preparation / test / friendly events,142,2018,Györ Friendly,2018-11-11,2018-11-11,WAG,junior and senior,International Event,,,60
Cups / opens / trophies / invitationals,123,2018,Arthur Gander Memorial,2018-11-14,2018-11-14,MAG and WAG,senior,International Event,,,64
Other named international meets,180,2018,Elite Gym Massilia,2018-11-16,2018-11-18,WAG,junior and senior,International Event,,,568
Cups / opens / trophies / invitationals,122,2018,Swiss Cup,2018-11-18,2018-11-18,MAG and WAG,senior,International Event,,,52
Other named international meets,129,2018,Swiss Duel,2018-11-18,2018-11-18,MAG and WAG,junior and senior,International Event,,,32
Cups / opens / trophies / invitationals,101,2018,Sokol Grand Prix,2018-11-23,2018-11-25,MAG and WAG,junior and senior,International Event,,,81
Cups / opens / trophies / invitationals,152,2018,Zifcakovcov Memorial,2018-11-23,2018-11-24,WAG,junior and senior,International Event,,,254
Other named international meets,177,2018,Top Gym Tournament,2018-11-24,2018-11-25,WAG,junior,International Event,,,281
Games / festivals / multi-sport events,35,2018,Olympic Hopes Cup,2018-11-29,2018-12-01,MAG and WAG,junior,International Event,,,491
Cups / opens / trophies / invitationals,124,2018,Joaquin Blume Memorial,2018-12-01,2018-12-01,MAG and WAG,senior,International Event,,,115
Cups / opens / trophies / invitationals,2,2018,Barborka Cup,2018-12-07,2018-12-09,MAG and WAG,junior,International Event,,,203
Other named international meets,130,2018,Toyota International,2018-12-08,2018-12-09,MAG and WAG,senior,International Event,,,148
Cups / opens / trophies / invitationals,51,2018,Voronin Cup,2018-12-12,2018-12-13,MAG and WAG,junior and senior,International Event,,,960
Cups / opens / trophies / invitationals,339,2019,RD761 International Cup,2019-01-18,2019-01-20,MAG,junior,International Event,,,212
Cups / opens / trophies / invitationals,323,2019,Houston National Invitational,2019-02-01,2019-02-03,MAG and WAG,junior and senior,International Event,,,150
Games / festivals / multi-sport events,219,2019,Reykjavik International Games,2019-02-02,2019-02-02,MAG and WAG,junior and senior,International Event,,,329
Cups / opens / trophies / invitationals,331,2019,Liukin Invitational,2019-02-09,2019-02-09,MAG,junior and senior,International Event,,,156
Cups / opens / trophies / invitationals,427,2019,WOGA Classic,2019-02-09,2019-02-09,WAG,junior and senior,International Event,,,143
Cups / opens / trophies / invitationals,256,2019,Winter Cup Challenge,2019-02-15,2019-02-17,MAG,junior and senior,International Event,,,743
Cups / opens / trophies / invitationals,347,2019,American Cup,2019-03-02,2019-03-02,MAG and WAG,senior,International Event,,,94
Cups / opens / trophies / invitationals,307,2019,Austrian Team Open,2019-03-02,2019-03-02,MAG and WAG,junior and senior,International Event,,,245
Cups / opens / trophies / invitationals,410,2019,City of Jesolo Trophy,2019-03-02,2019-03-03,WAG,junior and senior,International Event,,,314
Other named international meets,413,2019,International Gymnix,2019-03-08,2019-03-10,WAG,junior and senior,International Event,,,575
