cluster,event_id,year,name,start_date,end_date,discipline,category,level,location,venue,result_count
Cups / opens / trophies / invitationals,671,2021,FIT Challenge,2021-06-25,2021-06-27,WAG,junior and senior,International Event,,,491
Preparation / test / friendly events,631,2021,Magglingen Men's Friendly,2021-07-03,2021-07-03,MAG,senior,International Event,,,61
Other named international meets,600,2021,Russian Youth Spartakiade,2021-07-04,2021-07-11,MAG and WAG,junior,International Event,,,1521
Games / festivals / multi-sport events,637,2021,Chinese Youth Games,2021-07-11,2021-07-14,MAG and WAG,junior,International Event,,,922
Other named international meets,586,2021,Finnish Show Competition,2021-08-27,2021-08-27,MAG,senior,International Event,,,68
Other named international meets,585,2021,2nd Finnish Show Competition,2021-09-03,2021-09-03,MAG,senior,International Event,,,76
Other named international meets,584,2021,3rd Finnish Show Competition,2021-09-10,2021-09-10,MAG,senior,International Event,,,80
Cups / opens / trophies / invitationals,598,2021,Unnis & Haralds Trophy,2021-09-10,2021-09-12,MAG and WAG,junior and senior,International Event,,,636
Games / festivals / multi-sport events,657,2021,Gym Festival Trnava,2021-09-11,2021-09-12,WAG,junior and senior,International Event,,,176
Cups / opens / trophies / invitationals,549,2021,Hungarian Grand Prix,2021-09-24,2021-09-26,MAG and WAG,senior,International Event,,,228
Other named international meets,672,2021,2nd Norwegian FIG Meet,2021-09-25,2021-09-26,WAG,junior and senior,International Event,,,338
Cups / opens / trophies / invitationals,596,2021,Unisport Norges Cup,2021-09-25,2021-09-25,MAG,junior and senior,International Event,,,188
Cups / opens / trophies / invitationals,560,2021,Wohnen Juniors Trophy,2021-09-25,2021-09-26,MAG,junior,International Event,,,958
Cups / opens / trophies / invitationals,608,2021,Hanspeter Demetz Memorial,2021-10-02,2021-10-02,MAG and WAG,junior,International Event,,,193
Regional or sub-continental events,523,2021,Nordic Junior Championships,2021-10-29,2021-10-30,MAG and WAG,junior,International Event,,,247
Other named international meets,643,2021,Rushmoor Rosebowl,2021-10-30,2021-10-30,WAG,junior and senior,International Event,,,280
Cups / opens / trophies / invitationals,528,2021,Wase Gymcup,2021-10-30,2021-10-31,MAG and WAG,junior and senior,International Event,,,1114
Other named international meets,668,2021,Gymstars International,2021-10-31,2021-10-31,WAG,junior and senior,International Event,,,79
Cups / opens / trophies / invitationals,570,2021,Arthur Gander Memorial,2021-11-03,2021-11-03,MAG and WAG,senior,International Event,,,62
Cups / opens / trophies / invitationals,525,2021,Mälar Cup,2021-11-06,2021-11-07,MAG and WAG,junior and senior,International Event,,,762
Games / festivals / multi-sport events,594,2021,Olympic Hopes Cup,2021-11-06,2021-11-07,MAG and WAG,junior,International Event,,,492
Cups / opens / trophies / invitationals,694,2021,Swiss Cup Juniors,2021-11-06,2021-11-06,WAG,junior,International Event,,,116
Cups / opens / trophies / invitationals,681,2021,Swiss Cup,2021-11-07,2021-11-07,WAG,senior,International Event,,,25
Regional or sub-continental events,620,2021,South American Junior Championships,2021-11-11,2021-11-15,MAG and WAG,junior,International Event,,,263
Other named international meets,645,2021,Elite Gym Massilia,2021-11-12,2021-11-14,WAG,junior and senior,International Event,,,361
Regional or sub-continental events,582,2021,Northern European Championships,2021-11-12,2021-11-14,MAG and WAG,junior and senior,International Event,,,707
Cups / opens / trophies / invitationals,661,2021,Gymnova Cup,2021-11-13,2021-11-14,WAG,junior and senior,International Event,,,447
Cups / opens / trophies / invitationals,544,2021,Swedish Cup,2021-11-20,2021-11-21,MAG and WAG,junior and senior,International Event,,,236
Other named international meets,678,2021,Tournoi International,2021-11-20,2021-11-21,WAG,junior,International Event,,,499
Regional or sub-continental events,615,2021,Junior Pan American Games,2021-11-25,2021-12-05,MAG and WAG,junior,International Event,,,732
Other named international meets,644,2021,Top Gym Tournament,2021-11-27,2021-11-28,WAG,junior,International Event,,,174
Regional or sub-continental events,567,2021,South American Championships,2021-12-08,2021-12-12,MAG and WAG,senior,International Event,,,427
Cups / opens / trophies / invitationals,824,2022,Houston National Invitational,2022-01-20,2022-01-23,MAG,senior,International Event,,,47
Cups / opens / trophies / invitationals,856,2022,Liukin Invitational,2022-02-12,2022-02-12,MAG,junior and senior,International Event,,,56
Cups / opens / trophies / invitationals,923,2022,WOGA Classic,2022-02-12,2022-02-12,WAG,junior and senior,International Event,,,90
Cups / opens / trophies / invitationals,823,2022,Winter Cup,2022-02-24,2022-02-27,MAG and WAG,junior and senior,International Event,,,669
Cups / opens / trophies / invitationals,725,2022,DTB Pokal Team Challenge,2022-03-18,2022-03-20,MAG and WAG,junior and senior,International Event,,,1157
Other named international meets,918,2022,Elite Canada,2022-03-18,2022-03-20,WAG,junior and senior,International Event,,,683
Other named international meets,921,2022,French Test Meet,2022-03-19,2022-03-26,WAG,junior and senior,International Event,,,173
Cups / opens / trophies / invitationals,866,2022,DTB Pokal Mixed Cup,2022-03-20,2022-03-20,MAG and WAG,senior,International Event,,,69
Cups / opens / trophies / invitationals,914,2022,Latvian Cup,2022-03-24,2022-03-26,WAG,junior and senior,International Event,,,337
Cups / opens / trophies / invitationals,908,2022,Icelandic Classic,2022-04-01,2022-04-03,WAG,junior and senior,International Event,,,78
Cups / opens / trophies / invitationals,769,2022,Hanspeter Demetz Memorial,2022-04-02,2022-04-03,MAG and WAG,junior,International Event,,,601
Cups / opens / trophies / invitationals,816,2022,Unisport Norges Cup,2022-04-02,2022-04-03,MAG,junior and senior,International Event,,,116
Cups / opens / trophies / invitationals,915,2022,Lithuanian Cup,2022-04-08,2022-04-08,WAG,junior and senior,International Event,,,205
Cups / opens / trophies / invitationals,883,2022,City of Jesolo Trophy,2022-04-09,2022-04-10,WAG,junior and senior,International Event,,,467
Cups / opens / trophies / invitationals,912,2022,Zelena Jama Open,2022-04-09,2022-04-10,WAG,junior,International Event,,,350
Cups / opens / trophies / invitationals,898,2022,Elek Matolay Memorial,2022-04-23,2022-04-24,WAG,junior and senior,International Event,,,808
Regional or sub-continental events,851,2022,South American Junior Games,2022-04-28,2022-05-01,MAG and WAG,junior,International Event,,,455
Cups / opens / trophies / invitationals,729,2022,International Junior Team Cup,2022-04-29,2022-04-30,MAG,junior,International Event,,,908
Other named international meets,726,2022,International GymSport,2022-04-30,2022-05-01,MAG and WAG,junior and senior,International Event,,,986
Regional or sub-continental events,867,2022,Southeast Asian Games,2022-05-13,2022-05-16,MAG and WAG,senior,International Event,,,105
Cups / opens / trophies / invitationals,870,2022,NHK Trophy,2022-05-14,2022-05-15,MAG and WAG,junior and senior,International Event,,,322
Games / festivals / multi-sport events,724,2022,Gymnasiade,2022-05-17,2022-05-20,MAG and WAG,junior and senior,International Event,,,707
Cups / opens / trophies / invitationals,854,2022,Brazil Trophy,2022-05-19,2022-05-22,MAG and WAG,junior and senior,International Event,,,301
Other named international meets,924,2022,Norwegian FIG Meet 1,2022-05-21,2022-05-22,WAG,junior and senior,International Event,,,309
Preparation / test / friendly events,901,2022,Tata Junior Friendly,2022-05-21,2022-05-21,WAG,junior,International Event,,,56
Cups / opens / trophies / invitationals,909,2022,Züri Oberland Cup,2022-05-21,2022-05-22,WAG,junior and senior,International Event,,,69
Cups / opens / trophies / invitationals,740,2022,Singapore Open,2022-05-26,2022-05-29,MAG and WAG,junior and senior,International Event,,,577
Other named international meets,935,2022,Chinese Selection Meet,2022-06-01,2022-06-01,WAG,senior,International Event,,,60
Explicit International Event overrides,745,2022,COMEGYM Championships,2022-06-02,2022-06-04,MAG and WAG,junior,International Event,,,419
Cups / opens / trophies / invitationals,813,2022,Salamunov Memorial,2022-06-02,2022-06-05,MAG and WAG,junior and senior,International Event,,,976
Preparation / test / friendly events,864,2022,U.S. Pan Ams Selection Camp,2022-06-04,2022-06-08,MAG,senior,International Event,,,53
Games / festivals / multi-sport events,795,2022,Bolivarian Games,2022-06-25,2022-06-28,MAG and WAG,senior,International Event,,,547
Preparation / test / friendly events,886,2022,Haguenau Junior Friendly,2022-06-25,2022-06-25,WAG,junior,International Event,,,79
Regional or sub-continental events,775,2022,Mediterranean Games,2022-06-26,2022-06-29,MAG and WAG,senior,International Event,,,817
Cups / opens / trophies / invitationals,900,2022,Austrian Team Challenge,2022-07-02,2022-07-02,WAG,junior and senior,International Event,,,286
Regional or sub-continental events,719,2022,Nordic Championships,2022-07-02,2022-07-03,MAG and WAG,junior and senior,International Event,,,751
Cups / opens / trophies / invitationals,833,2022,Russian Cup,2022-07-06,2022-07-10,MAG and WAG,senior,International Event,,,573
Cups / opens / trophies / invitationals,905,2022,American Classic,2022-07-08,2022-07-08,WAG,junior and senior,International Event,,,86
Other named international meets,936,2022,GymStars International,2022-07-09,2022-07-10,WAG,junior and senior,International Event,,,61
Cups / opens / trophies / invitationals,874,2022,Hopes Classic,2022-07-09,2022-07-09,WAG,junior,International Event,,,240
Preparation / test / friendly events,825,2022,Klagenfurt Friendly,2022-07-09,2022-07-09,MAG,junior and senior,International Event,,,203
Preparation / test / friendly events,884,2022,Ghent Friendly,2022-07-16,2022-07-16,WAG,junior and senior,International Event,,,66
Cups / opens / trophies / invitationals,904,2022,Petrom Cup,2022-07-16,2022-07-16,WAG,junior and senior,International Event,,,146
Preparation / test / friendly events,773,2022,Magglingen Friendly,2022-07-23,2022-07-23,MAG,senior,International Event,,,135
Preparation / test / friendly events,922,2022,Sedan Friendly,2022-07-23,2022-07-23,WAG,senior,International Event,,,45
Other named international meets,852,2022,EYOF Mixed Pairs,2022-07-24,2022-07-30,MAG and WAG,junior,International Event,,,78
Games / festivals / multi-sport events,723,2022,European Youth Olympic Festival,2022-07-24,2022-07-30,MAG and WAG,junior,International Event,,,1277
Regional or sub-continental events,754,2022,Commonwealth Games,2022-07-29,2022-08-02,MAG and WAG,senior,International Event,,,823
Cups / opens / trophies / invitationals,799,2022,U.S. Classic,2022-07-29,2022-07-31,MAG and WAG,junior and senior,International Event,,,434
Games / festivals / multi-sport events,749,2022,Islamic Solidarity Games,2022-08-09,2022-08-18,MAG and WAG,senior,International Event,,,312
Regional or sub-continental events,794,2022,South American Championships,2022-08-18,2022-08-22,MAG and WAG,senior,International Event,,,456
Regional or sub-continental events,812,2022,Balkan Championships,2022-09-16,2022-09-18,MAG and WAG,junior,International Event,,,588
Other named international meets,913,2022,Norwegian FIG Meet 2,2022-09-16,2022-09-18,WAG,junior and senior,International Event,,,201
Games / festivals / multi-sport events,892,2022,Gym Festival Trnava,2022-09-17,2022-09-18,WAG,junior and senior,International Event,,,367
Preparation / test / friendly events,844,2022,Istanbul Friendly,2022-09-24,2022-09-25,MAG,senior,International Event,,,104
Cups / opens / trophies / invitationals,911,2022,Leverkusen Cup,2022-09-24,2022-09-24,WAG,junior and senior,International Event,,,112
Cups / opens / trophies / invitationals,789,2022,Wohnen Juniors Trophy,2022-09-24,2022-09-25,MAG,junior,International Event,,,666
Other named international meets,819,2022,Spartakiade,2022-09-26,2022-10-01,MAG and WAG,junior and senior,International Event,,,1455
Cups / opens / trophies / invitationals,899,2022,Australian Classic,2022-09-30,2022-10-04,WAG,junior and senior,International Event,,,272
Cups / opens / trophies / invitationals,871,2022,Joaquim Blume Memorial,2022-10-01,2022-10-01,MAG and WAG,senior,International Event,,,129
Regional or sub-continental events,786,2022,South American Games,2022-10-04,2022-10-08,MAG and WAG,senior,International Event,,,598
Cups / opens / trophies / invitationals,815,2022,Unni & Haralds Trophy,2022-10-14,2022-10-16,MAG and WAG,junior and senior,International Event,,,850
Preparation / test / friendly events,827,2022,Tata Friendly,2022-10-15,2022-10-15,MAG,senior,International Event,,,67
Other named international meets,879,2022,Rushmoor Rose Bowl,2022-10-22,2022-10-23,WAG,junior and senior,International Event,,,450
Cups / opens / trophies / invitationals,822,2022,Wase Gymcup,2022-10-29,2022-10-30,MAG and WAG,junior and senior,International Event,,,641
Preparation / test / friendly events,835,2022,Mogilev Friendly,2022-10-31,2022-11-03,MAG,junior and senior,International Event,,,233
Cups / opens / trophies / invitationals,718,2022,Mälar Cup,2022-11-04,2022-11-06,MAG and WAG,junior and senior,International Event,,,974
Preparation / test / friendly events,933,2022,Essen Junior Friendly,2022-11-05,2022-11-05,WAG,junior,International Event,,,118
Regional or sub-continental events,865,2022,South American Junior Championships,2022-11-10,2022-11-13,MAG and WAG,junior and senior,International Event,,,609
Cups / opens / trophies / invitationals,877,2022,Gymnova Cup,2022-11-11,2022-11-12,WAG,junior and senior,International Event,,,573
Cups / opens / trophies / invitationals,840,2022,Horizon Cup,2022-11-11,2022-11-13,MAG and WAG,junior,International Event,,,509
Other named international meets,917,2022,Tournoi International,2022-11-12,2022-11-13,WAG,junior,International Event,,,586
Cups / opens / trophies / invitationals,838,2022,Vera Caslavska Grand Prix,2022-11-12,2022-11-13,MAG and WAG,junior,International Event,,,593
Regional or sub-continental events,791,2022,Northern European Championships,2022-11-19,2022-11-20,MAG and WAG,junior and senior,International Event,,,635
Cups / opens / trophies / invitationals,783,2022,Arthur Gander Memorial,2022-11-23,2022-11-23,MAG and WAG,senior,International Event,,,65
Cups / opens / trophies / invitationals,721,2022,Austrian Future Cup,2022-11-25,2022-11-26,MAG,junior,International Event,,,859
Cups / opens / trophies / invitationals,733,2022,Swiss Cup Juniors,2022-11-25,2022-11-25,MAG,junior,International Event,,,102
Cups / opens / trophies / invitationals,910,2022,Michel Wanten Cup,2022-11-26,2022-11-27,WAG,junior and senior,International Event,,,110
Cups / opens / trophies / invitationals,919,2022,Swedish Cup,2022-11-26,2022-11-27,WAG,senior,International Event,,,74
Other named international meets,927,2022,Top Gym Tournament,2022-11-26,2022-11-27,WAG,junior,International Event,,,211
Cups / opens / trophies / invitationals,782,2022,Swiss Cup,2022-11-27,2022-11-27,MAG and WAG,senior,International Event,,,52
Preparation / test / friendly events,843,2022,Newport Friendly,2022-12-03,2022-12-03,MAG,junior,International Event,,,208
Cups / opens / trophies / invitationals,820,2022,Voronin Cup,2022-12-07,2022-12-07,MAG and WAG,junior and senior,International Event,,,334
Cups / opens / trophies / invitationals,1031,2023,Beach Blast Invitational,2023-01-12,2023-01-15,MAG,senior,International Event,,,103
Cups / opens / trophies / invitationals,1035,2023,Houston National Invitational,2023-01-13,2023-01-15,MAG,senior,International Event,,,106
Other named international meets,995,2023,Elite Canada,2023-01-20,2023-01-22,MAG and WAG,junior and senior,International Event,,,1447
Cups / opens / trophies / invitationals,1057,2023,HGA Invitational,2023-01-20,2023-01-22,MAG,senior,International Event,,,75
Cups / opens / trophies / invitationals,1029,2023,Stanford Open,2023-01-27,2023-01-29,MAG,junior and senior,International Event,,,138
Cups / opens / trophies / invitationals,1045,2023,Blackjack Invitational,2023-02-03,2023-02-05,MAG,junior and senior,International Event,,,97
Cups / opens / trophies / invitationals,1020,2023,Luxembourg Open,2023-02-17,2023-02-19,MAG and WAG,junior and senior,International Event,,,689
Cups / opens / trophies / invitationals,1169,2023,WOGA Classic,2023-02-17,2023-02-19,WAG,junior and senior,International Event,,,86
Cups / opens / trophies / invitationals,987,2023,Winter Cup,2023-02-23,2023-02-26,MAG and WAG,junior and senior,International Event,,,998
Cups / opens / trophies / invitationals,1048,2023,Ifact Norges Cup,2023-03-03,2023-03-05,MAG,junior and senior,International Event,,,382
Cups / opens / trophies / invitationals,1085,2023,Tiger Cup,2023-03-03,2023-03-05,MAG and WAG,junior and senior,International Event,,,449
Preparation / test / friendly events,1058,2023,Innsbruck Friendly,2023-03-04,2023-03-04,MAG,junior and senior,International Event,,,171
Other named international meets,1150,2023,Norwegian FIG Meet 1,2023-03-04,2023-03-05,WAG,junior and senior,International Event,,,299
Preparation / test / friendly events,1117,2023,U.S.-Canada Junior Friendly,2023-03-07,2023-03-07,WAG,junior,International Event,,,80
Cups / opens / trophies / invitationals,1016,2023,Iceland Classic,2023-03-10,2023-03-12,MAG and WAG,junior and senior,International Event,,,128
Cups / opens / trophies / invitationals,941,2023,DTB Pokal Team Challenge,2023-03-17,2023-03-19,MAG and WAG,junior and senior,International Event,,,1203
Preparation / test / friendly events,1156,2023,Magglingen Friendly,2023-03-18,2023-03-18,WAG,senior,International Event,,,61
Cups / opens / trophies / invitationals,1079,2023,DTB Pokal Mixed Cup,2023-03-19,2023-03-19,MAG and WAG,senior,International Event,,,66
Other named international meets,1151,2023,Norwegian FIG Meet 2,2023-03-25,2023-03-26,WAG,junior and senior,International Event,,,217
Cups / opens / trophies / invitationals,1153,2023,City of Jesolo Trophy,2023-03-30,2023-04-02,WAG,junior and senior,International Event,,,352
Games / festivals / multi-sport events,1073,2023,Barents Winter Games,2023-04-01,2023-04-01,MAG and WAG,junior and senior,International Event,,,177
Cups / opens / trophies / invitationals,1138,2023,Elek Matolay Memorial,2023-04-01,2023-04-02,WAG,junior and senior,International Event,,,442
Cups / opens / trophies / invitationals,1152,2023,Zelena Jama Open,2023-04-01,2023-04-01,WAG,junior,International Event,,,237
Cups / opens / trophies / invitationals,1054,2023,Belarus Open Cup,2023-04-10,2023-04-14,MAG and WAG,junior and senior,International Event,,,753
Cups / opens / trophies / invitationals,1086,2023,Brazil Trophy,2023-04-11,2023-04-16,MAG and WAG,junior and senior,International Event,,,334
Cups / opens / trophies / invitationals,1042,2023,Hanspeter Demetz Memorial,2023-04-22,2023-04-22,MAG and WAG,junior,International Event,,,681
Other named international meets,1012,2023,International GymSport,2023-04-28,2023-04-29,MAG and WAG,junior and senior,International Event,,,795
Cups / opens / trophies / invitationals,1049,2023,Ifact Norges Cup 2,2023-04-29,2023-04-30,MAG,junior and senior,International Event,,,335
Regional or sub-continental events,969,2023,Southeast Asian Games,2023-05-05,2023-05-17,MAG,senior,International Event,,,211
Cups / opens / trophies / invitationals,1173,2023,Australian Junior Classic,2023-05-06,2023-05-06,WAG,junior,International Event,,,53
Cups / opens / trophies / invitationals,984,2023,International Junior Team Cup,2023-05-12,2023-05-13,MAG,junior,International Event,,,953
Regional or sub-continental events,945,2023,Nordic Junior Championships,2023-05-19,2023-05-21,MAG and WAG,junior,International Event,,,666
Cups / opens / trophies / invitationals,1108,2023,NHK Trophy,2023-05-20,2023-05-21,MAG and WAG,junior and senior,International Event,,,351
Preparation / test / friendly events,1064,2023,Avignon Friendly,2023-05-28,2023-05-28,MAG,junior,International Event,,,191
Cups / opens / trophies / invitationals,1077,2023,Singapore Open,2023-06-02,2023-06-04,MAG and WAG,junior and senior,International Event,,,882
Cups / opens / trophies / invitationals,1147,2023,Rising Stars Trophy,2023-06-16,2023-06-17,WAG,junior,International Event,,,157
Cups / opens / trophies / invitationals,1044,2023,Salamunov Memorial,2023-06-21,2023-06-25,MAG and WAG,junior and senior,International Event,,,1082
Regional or sub-continental events,1003,2023,Central American & Caribbean Games,2023-06-24,2023-06-28,MAG and WAG,senior,International Event,,,743
Preparation / test / friendly events,1158,2023,Epernay Friendly,2023-07-01,2023-07-01,WAG,junior,International Event,,,116
Cups / opens / trophies / invitationals,1137,2023,American Classic,2023-07-08,2023-07-09,WAG,junior and senior,International Event,,,220
Cups / opens / trophies / invitationals,1112,2023,Hopes Classic,2023-07-08,2023-07-09,WAG,junior,International Event,,,276
Other named international meets,1065,2023,EYOF Mixed Pairs,2023-07-25,2023-07-29,MAG and WAG,junior,International Event,,,80
Games / festivals / multi-sport events,952,2023,European Youth Olympic Festival,2023-07-25,2023-07-29,MAG and WAG,junior,International Event,,,1208
Preparation / test / friendly events,1052,2023,Minsk Friendly,2023-07-27,2023-07-27,MAG and WAG,junior,International Event,,,235
Games / festivals / multi-sport events,996,2023,Summer Universiade,2023-08-01,2023-08-05,MAG and WAG,senior,International Event,,,1136
Cups / opens / trophies / invitationals,1013,2023,U.S. Classic,2023-08-04,2023-08-06,MAG and WAG,junior and senior,International Event,,,944
Preparation / test / friendly events,1008,2023,Lenzburg Friendly,2023-08-05,2023-08-05,MAG,senior,International Event,,,99
Cups / opens / trophies / invitationals,954,2023,Pharaoh's Cup,2023-08-18,2023-08-20,MAG and WAG,junior and senior,International Event,,,488
Preparation / test / friendly events,1081,2023,Ghent Friendly,2023-08-26,2023-08-26,MAG,senior,International Event,,,102
Preparation / test / friendly events,1139,2023,Linz Friendly,2023-08-26,2023-08-26,WAG,senior,International Event,,,107
Regional or sub-continental events,1104,2023,South American Junior Championships,2023-08-26,2023-09-02,MAG and WAG,junior,International Event,,,415
Cups / opens / trophies / invitationals,1050,2023,Russian Cup,2023-08-30,2023-09-03,MAG and WAG,junior and senior,International Event,,,840
Cups / opens / trophies / invitationals,1007,2023,RomGym Trophy,2023-09-01,2023-09-03,MAG and WAG,senior,International Event,,,406
Regional or sub-continental events,1019,2023,South American Championships,2023-09-08,2023-09-10,MAG and WAG,senior,International Event,,,496
Cups / opens / trophies / invitationals,1074,2023,Unni & Haralds Trophy,2023-09-08,2023-09-10,MAG and WAG,junior and senior,International Event,,,783
Preparation / test / friendly events,1157,2023,Heidelberg Friendly,2023-09-09,2023-09-09,WAG,senior,International Event,,,127
Preparation / test / friendly events,1082,2023,Magglingen Friendly 2,2023-09-16,2023-09-16,MAG,senior,International Event,,,104
Regional or sub-continental events,1021,2023,Balkan Championships,2023-09-21,2023-09-23,MAG and WAG,junior,International Event,,,680
Games / festivals / multi-sport events,970,2023,Asian Games,2023-09-24,2023-09-29,MAG and WAG,senior,International Event,,,811
Cups / opens / trophies / invitationals,1131,2023,Australian Classic,2023-09-24,2023-10-01,WAG,junior and senior,International Event,,,292
Cups / opens / trophies / invitationals,976,2023,Wohnen Juniors Trophy,2023-09-29,2023-09-30,MAG,junior,International Event,,,693
Cups / opens / trophies / invitationals,1125,2023,Leverkusen Cup,2023-10-14,2023-10-14,WAG,junior and senior,International Event,,,113
Cups / opens / trophies / invitationals,1154,2023,German Junior Cup,2023-10-20,2023-10-22,WAG,junior,International Event,,,340
Regional or sub-continental events,1072,2023,Mediterranean Championships,2023-10-20,2023-10-22,MAG and WAG,junior,International Event,,,273
Regional or sub-continental events,1004,2023,Pan American Games,2023-10-20,2023-11-05,MAG and WAG,senior,International Event,,,1009
Other named international meets,1123,2023,Rushmoor Rose Bowl,2023-10-21,2023-10-22,WAG,junior and senior,International Event,,,435
Cups / opens / trophies / invitationals,1090,2023,Ifact Norges Cup 3,2023-10-27,2023-10-29,MAG,junior and senior,International Event,,,323
Other named international meets,1149,2023,Norwegian FIG Meet 3,2023-10-28,2023-10-29,WAG,junior and senior,International Event,,,246
Cups / opens / trophies / invitationals,968,2023,Wase Gymcup,2023-10-28,2023-10-29,MAG and WAG,junior and senior,International Event,,,869
Cups / opens / trophies / invitationals,1001,2023,Arthur Gander Memorial,2023-11-01,2023-11-01,MAG and WAG,senior,International Event,,,74
Cups / opens / trophies / invitationals,939,2023,Mälar Cup,2023-11-03,2023-11-05,MAG and WAG,junior and senior,International Event,,,1923
Cups / opens / trophies / invitationals,1168,2023,Swiss Cup Juniors,2023-11-03,2023-11-03,WAG,junior,International Event,,,117
Cups / opens / trophies / invitationals,1056,2023,Andrea Massucchi Trophy,2023-11-04,2023-11-04,MAG,junior,International Event,,,120
Cups / opens / trophies / invitationals,1166,2023,Hungary Masters Championships,2023-11-04,2023-11-05,WAG,junior and senior,International Event,,,91
Cups / opens / trophies / invitationals,1002,2023,Swiss Cup,2023-11-05,2023-11-05,MAG and WAG,senior,International Event,,,52
Cups / opens / trophies / invitationals,965,2023,Horizon Cup,2023-11-10,2023-11-12,MAG and WAG,junior,International Event,,,839
Cups / opens / trophies / invitationals,1116,2023,Gymnova Cup,2023-11-11,2023-11-12,WAG,junior and senior,International Event,,,537
Cups / opens / trophies / invitationals,940,2023,Austrian Future Cup,2023-11-17,2023-11-18,MAG,junior,International Event,,,1030
Other named international meets,1118,2023,Tournoi International,2023-11-18,2023-11-19,WAG,junior,International Event,,,668
Preparation / test / friendly events,1053,2023,Kazan Friendly,2023-11-22,2023-11-25,MAG and WAG,junior,International Event,,,244
Regional or sub-continental events,946,2023,Northern European Championships,2023-11-24,2023-11-26,MAG and WAG,junior and senior,International Event,,,724
Games / festivals / multi-sport events,1075,2023,Olympic Hopes Cup,2023-11-24,2023-11-26,MAG and WAG,junior,International Event,,,508
Preparation / test / friendly events,1080,2023,Lenzburg Junior Friendly,2023-11-25,2023-11-25,MAG,junior,International Event,,,210
Cups / opens / trophies / invitationals,1102,2023,Sokol Grand Prix,2023-11-25,2023-11-25,MAG and WAG,senior,International Event,,,98
Other named international meets,1122,2023,Top Gym Tournament,2023-11-25,2023-11-26,WAG,junior,International Event,,,267
Preparation / test / friendly events,1018,2023,European Online Test Event,2023-12-01,2023-12-01,MAG,senior,International Event,,,49
Cups / opens / trophies / invitationals,1171,2023,Michel Wanten Cup,2023-12-02,2023-12-03,WAG,junior and senior,International Event,,,142
Cups / opens / trophies / invitationals,1265,2024,Beach Blast Invitational,2024-01-12,2024-01-14,MAG,senior,International Event,,,139
Cups / opens / trophies / invitationals,1286,2024,Houston National Invitational,2024-01-18,2024-01-21,MAG,junior and senior,International Event,,,186
Cups / opens / trophies / invitationals,1381,2024,WOGA Classic,2024-02-09,2024-02-11,WAG,junior and senior,International Event,,,45
Other named international meets,1234,2024,Elite Canada,2024-02-18,2024-02-20,MAG and WAG,junior and senior,International Event,,,1636
Cups / opens / trophies / invitationals,1206,2024,Winter Cup,2024-02-23,2024-02-25,MAG and WAG,junior and senior,International Event,,,1035
Cups / opens / trophies / invitationals,1361,2024,Polish Cup,2024-02-29,2024-02-29,WAG,junior and senior,International Event,,,90
Cups / opens / trophies / invitationals,1278,2024,Tiger Cup,2024-02-29,2024-03-02,MAG and WAG,junior and senior,International Event,,,744
Other named international meets,1309,2024,European Online Series,2024-03-01,2024-03-01,MAG,senior,International Event,,,87
Cups / opens / trophies / invitationals,1252,2024,Iceland Classic,2024-03-01,2024-03-03,MAG and WAG,junior and senior,International Event,,,591
Other named international meets,1340,2024,International Gymnix,2024-03-06,2024-03-10,WAG,junior and senior,International Event,,,445
Cups / opens / trophies / invitationals,1188,2024,DTB Pokal Team Challenge,2024-03-15,2024-03-17,MAG and WAG,junior and senior,International Event,,,1256
Cups / opens / trophies / invitationals,1202,2024,Unni & Haralds Trophy,2024-03-16,2024-03-17,MAG and WAG,junior and senior,International Event,,,858
Cups / opens / trophies / invitationals,1336,2024,DTB Pokal Mixed Cup,2024-03-17,2024-03-17,MAG and WAG,senior,International Event,,,66
Cups / opens / trophies / invitationals,1264,2024,Grizzly Classic,2024-03-21,2024-03-24,MAG,junior,International Event,,,101
Cups / opens / trophies / invitationals,1221,2024,International Junior Team Cup,2024-03-21,2024-03-24,MAG,junior,International Event,,,985
Preparation / test / friendly events,1235,2024,Antalya Friendly,2024-03-22,2024-03-22,MAG,senior,International Event,,,137
Other named international meets,1256,2024,European Online Series 2,2024-03-22,2024-03-22,MAG,senior,International Event,,,145
Other named international meets,1183,2024,International GymSport,2024-03-23,2024-03-24,MAG and WAG,junior and senior,International Event,,,824
Other named international meets,1355,2024,U.S. Selection Meet,2024-04-02,2024-04-02,WAG,junior and senior,International Event,,,100
Games / festivals / multi-sport events,1259,2024,Bolivarian Youth Games,2024-04-04,2024-04-14,MAG and WAG,junior,International Event,,,279
Regional or sub-continental events,1182,2024,Nordic Championships,2024-04-05,2024-04-07,MAG and WAG,junior and senior,International Event,,,863
Preparation / test / friendly events,1277,2024,Ravenna Junior Friendly,2024-04-05,2024-04-05,MAG,junior,International Event,,,208
Preparation / test / friendly events,1375,2024,Magglingen Junior Friendly,2024-04-06,2024-04-06,WAG,junior,International Event,,,117
Cups / opens / trophies / invitationals,1359,2024,Rising Stars Trophy,2024-04-06,2024-04-07,WAG,junior,International Event,,,192
Cups / opens / trophies / invitationals,1328,2024,Ifact Norges Cup,2024-04-12,2024-04-12,MAG,junior and senior,International Event,,,215
Cups / opens / trophies / invitationals,1217,2024,Luxembourg Open,2024-04-12,2024-04-13,MAG and WAG,junior and senior,International Event,,,585
