conflict_group,db_event,choice,notes,option_1,option_2,option_3,option_4
1,ID 492 | Unisport Norges Cup | MAG | 141 result,2,,1: calendar row 26 | Feb 29-Mar 1 | Unisport Norges Cup | 2020-02-29 to 2020-03-01,2: calendar row 46 | Oct 10 | Unisport Norges Cup (MAG) | 2020-10-10 to 2020-10-10,,
2,ID 478 | 1st Bundesliga | MAG and WAG | 487 result,1 and 2,,1: calendar row 29 | Mar 7 | 1st Bundesliga | 2020-03-07 to 2020-03-07,2: calendar row 44 | Oct 3 | 1st Bundesliga (MAG) | 2020-10-03 to 2020-10-03,,
3,ID 480 | 2nd Bundesliga | MAG and WAG | 418 result,1 and 2,,1: calendar row 45 | Oct 10 | 2nd Bundesliga (MAG) | 2020-10-10 to 2020-10-10,2: calendar row 47 | Oct 10-11 | 2nd Bundesliga | 2020-10-10 to 2020-10-11,,
