conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,1391,Top 12 Series 4,2025,MAG and WAG,junior and senior,262,2025,6,2025,Jan 25,2025-01-25,2025-01-25,Top 12 Series 4 (MAG),,,
1,1391,Top 12 Series 4,2025,MAG and WAG,junior and senior,262,2025,33,2025,Mar 15,2025-03-15,2025-03-15,Top 12 Series 4,,,
2,1219,Top 12 Series 3 (2025),2025,MAG,junior and senior,96,2025,20,2025,Feb 22,2025-02-22,2025-02-22,Top 12 Series 3,,,
2,1219,Top 12 Series 3 (2025),2025,MAG,junior and senior,96,2025,227,2025,Dec 13,2025-12-13,2025-12-13,Top 12 Series 3,,,
3,1582,Top 12 Series 3,2025,WAG,junior and senior,105,2025,20,2025,Feb 22,2025-02-22,2025-02-22,Top 12 Series 3,,,
3,1582,Top 12 Series 3,2025,WAG,junior and senior,105,2025,227,2025,Dec 13,2025-12-13,2025-12-13,Top 12 Series 3,,,
4,1454,1st Bundesliga,2025,MAG and WAG,junior and senior,483,2025,58,2025,Apr 12,2025-04-12,2025-04-12,1st Bundesliga (MAG),,,
4,1454,1st Bundesliga,2025,MAG and WAG,junior and senior,483,2025,71,2025,Apr 26,2025-04-26,2025-04-26,1st Bundesliga,,,
5,1508,2nd Bundesliga,2025,MAG and WAG,junior and senior,479,2025,81,2025,May 3,2025-05-03,2025-05-03,2nd Bundesliga (MAG),,,
5,1508,2nd Bundesliga,2025,MAG and WAG,junior and senior,479,2025,135,2025,Jul 5,2025-07-05,2025-07-05,2nd Bundesliga,,,
6,1445,3rd Bundesliga,2025,MAG and WAG,junior and senior,482,2025,113,2025,Jun 7,2025-06-07,2025-06-07,3rd Bundesliga (MAG),,,
6,1445,3rd Bundesliga,2025,MAG and WAG,junior and senior,482,2025,182,2025,Oct 11,2025-10-11,2025-10-11,3rd Bundesliga,,,
7,1455,4th Bundesliga,2025,MAG and WAG,junior and senior,481,2025,158,2025,Sep 6,2025-09-06,2025-09-06,4th Bundesliga (MAG),,,
7,1455,4th Bundesliga,2025,MAG and WAG,junior and senior,481,2025,208,2025,Nov 15,2025-11-15,2025-11-15,4th Bundesliga,,,
