event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
1275,Baborka Cup,MAG and WAG,junior and senior,International Event,238,,,1: row 210 | Nov 29-Dec 1 | Barborka Cup | 2024-11-29 to 2024-12-01 | confidence 0.738,2: row 184 | Oct 31-Nov 3 | Mälar Cup | 2024-10-31 to 2024-11-03 | confidence 0.507,3: row 30 | Mar 7-10 | Baku World Cup | 2024-03-07 to 2024-03-10 | confidence 0.504,4: row 194 | Nov 9-10 | Gymnova Cup | 2024-11-09 to 2024-11-10 | confidence 0.471,5: row 195 | Nov 9-10 | Horizon Cup | 2024-11-09 to 2024-11-10 | confidence 0.471
1294,Brandenburg Cup,MAG,senior,International Event,61,,,1: row 177 | Oct 19-20 | German Cup | 2024-10-19 to 2024-10-20 | confidence 0.481,2: row 146 | Jul 29-Aug 5 | Russian Cup | 2024-07-29 to 2024-08-05 | confidence 0.467,3: row 216 | Dec 6-8 | Voronin Cup | 2024-12-06 to 2024-12-08 | confidence 0.467,4: row 210 | Nov 29-Dec 1 | Barborka Cup | 2024-11-29 to 2024-12-01 | confidence 0.454,5: row 106 | May 23-26 | Varna Challenge Cup | 2024-05-23 to 2024-05-26 | confidence 0.432
1233,Candadian Championships,MAG,junior and senior,International Event,1115,,,1: row 118 | Jun 5-9 | Canadian Championships | 2024-06-05 to 2024-06-09 | confidence 0.752,2: row 2 | Jan 2-4 | Indian Championships | 2024-01-02 to 2024-01-04 | confidence 0.691,3: row 108 | May 25-26 | Oceania Championships | 2024-05-25 to 2024-05-26 | confidence 0.678,4: row 107 | May 24-26 | Asian Championships | 2024-05-24 to 2024-05-26 | confidence 0.674,5: row 196 | Nov 9-10 | Croatian Championships | 2024-11-09 to 2024-11-10 | confidence 0.666
1309,European Online Series,MAG,senior,International Event,87,,,1: row 24 | Mar 1 | European Gymnastics Online Series | 2024-03-01 to 2024-03-01 | confidence 0.782,2: row 49 | Mar 22 | European Gymnastics Online Series 2 | 2024-03-22 to 2024-03-22 | confidence 0.712,3: row 78 | Apr 13 | European Gymnastics Online Series 3 | 2024-04-13 to 2024-04-13 | confidence 0.712,4: row 93 | May 2-5 | European Championships | 2024-05-02 to 2024-05-05 | confidence 0.472,5: row 58 | Mar 30 | Top 12 Series 4 | 2024-03-30 to 2024-03-30 | confidence 0.410
1256,European Online Series 2,MAG,senior,International Event,145,,,1: row 49 | Mar 22 | European Gymnastics Online Series 2 | 2024-03-22 to 2024-03-22 | confidence 0.809,2: row 24 | Mar 1 | European Gymnastics Online Series | 2024-03-01 to 2024-03-01 | confidence 0.712,3: row 78 | Apr 13 | European Gymnastics Online Series 3 | 2024-04-13 to 2024-04-13 | confidence 0.682,4: row 222 | Dec 14 | Top 12 Series 2 | 2024-12-14 to 2024-12-14 | confidence 0.517,5: row 214 | Nov 30 | Top 12 Series 2 (MAG) | 2024-11-30 to 2024-11-30 | confidence 0.455
1255,European Online Series 3,MAG,senior,International Event,108,,,1: row 78 | Apr 13 | European Gymnastics Online Series 3 | 2024-04-13 to 2024-04-13 | confidence 0.809,2: row 24 | Mar 1 | European Gymnastics Online Series | 2024-03-01 to 2024-03-01 | confidence 0.712,3: row 49 | Mar 22 | European Gymnastics Online Series 2 | 2024-03-22 to 2024-03-22 | confidence 0.682,4: row 219 | Dec 7 | Top 12 Series 3 (MAG) | 2024-12-07 to 2024-12-07 | confidence 0.455,5: row 93 | May 2-5 | European Championships | 2024-05-02 to 2024-05-05 | confidence 0.437
1273,Japan Specialist Championships,MAG,senior,International Event,47,,,1: row 156 | Sep 16 | All-Japan Super Specialist Championships | 2024-09-16 to 2024-09-16 | confidence 0.697,2: row 125 | Jun 19-23 | Spanish Championships | 2024-06-19 to 2024-06-23 | confidence 0.572,3: row 154 | Sep 15 | All-Japan Senior Championships | 2024-09-15 to 2024-09-15 | confidence 0.568,4: row 206 | Nov 23 | All-Japan Team Championships | 2024-11-23 to 2024-11-23 | confidence 0.563,5: row 148 | Aug 23-26 | All-Japan Student Championships | 2024-08-23 to 2024-08-26 | confidence 0.560
1277,Ravenna Junior Friendly,MAG,junior,International Event,208,,,1: row 64 | Apr 5 | Ravenna Junior Men's Friendly | 2024-04-05 to 2024-04-05 | confidence 0.837,2: row 68 | Apr 6 | Magglingen Junior Friendly | 2024-04-06 to 2024-04-06 | confidence 0.679,3: row 207 | Nov 23 | Chemnitz Junior Friendly | 2024-11-23 to 2024-11-23 | confidence 0.673,4: row 131 | Jun 22 | Rüsselsheim Junior Men's Friendly | 2024-06-22 to 2024-06-22 | confidence 0.558,5: row 142 | Jul 6 | Haguenau Friendly | 2024-07-06 to 2024-07-06 | confidence 0.542
1305,Rüsselsheim Junior Friendly,MAG,junior,International Event,104,,,1: row 131 | Jun 22 | Rüsselsheim Junior Men's Friendly | 2024-06-22 to 2024-06-22 | confidence 0.848,2: row 207 | Nov 23 | Chemnitz Junior Friendly | 2024-11-23 to 2024-11-23 | confidence 0.659,3: row 68 | Apr 6 | Magglingen Junior Friendly | 2024-04-06 to 2024-04-06 | confidence 0.592,4: row 64 | Apr 5 | Ravenna Junior Men's Friendly | 2024-04-05 to 2024-04-05 | confidence 0.558,5: row 138 | Jun 29 | Troyes Friendly | 2024-06-29 to 2024-06-29 | confidence 0.428
