metric,value
year,2020
calendar_rows,90
db_events,77
calendar_unmatched_rows,0
db_unmatched_events,0
db_matched_events,77
calendar_only_rows,2
season_year_spillover_entries,1
cross_year_calendar_entries,0
source_issues,0
