conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,982,Top 12 Series 4,2023,MAG and WAG,junior and senior,225,2023,9,2023,Jan 28,2023-01-28,2023-01-28,Top 12 Series 4 (MAG),,,
1,982,Top 12 Series 4,2023,MAG and WAG,junior and senior,225,2023,61,2023,Mar 25,2023-03-25,2023-03-25,Top 12 Series 4,,,
2,997,1st Bundesliga,2023,MAG and WAG,junior and senior,486,2023,36,2023,Mar 4,2023-03-04,2023-03-04,1st Bundesliga (MAG),,,
2,997,1st Bundesliga,2023,MAG and WAG,junior and senior,486,2023,89,2023,Apr 30,2023-04-30,2023-04-30,1st Bundesliga,,,
3,998,2nd Bundesliga,2023,MAG and WAG,junior and senior,485,2023,82,2023,Apr 22-23,2023-04-22,2023-04-23,2nd Bundesliga (MAG),,,
3,998,2nd Bundesliga,2023,MAG and WAG,junior and senior,485,2023,141,2023,Jul 1,2023-07-01,2023-07-01,2nd Bundesliga,,,
4,999,3rd Bundesliga,2023,MAG and WAG,junior and senior,479,2023,86,2023,Apr 29-30,2023-04-29,2023-04-30,3rd Bundesliga (MAG),,,
4,999,3rd Bundesliga,2023,MAG and WAG,junior and senior,479,2023,207,2023,Oct 14,2023-10-14,2023-10-14,3rd Bundesliga,,,
5,1026,4th Bundesliga,2023,MAG and WAG,junior and senior,488,2023,213,2023,Oct 21,2023-10-21,2023-10-21,4th Bundesliga (MAG),,,
5,1026,4th Bundesliga,2023,MAG and WAG,junior and senior,488,2023,237,2023,Nov 11,2023-11-11,2023-11-11,4th Bundesliga,,,
6,979,Swedish Cup,2023,MAG and WAG,junior and senior,322,2023,243,2023,Nov 17-19,2023-11-17,2023-11-19,Swedish Cup (MAG),,,
6,979,Swedish Cup,2023,MAG and WAG,junior and senior,322,2023,246,2023,Nov 18,2023-11-18,2023-11-18,Swedish Cup,,,
