event_id,event_name,event_year,start_date,end_date,discipline,category,level,result_count,decision,matched_calendar_row,action,notes
887,1st Spanish League 2023,2023,,,WAG,junior and senior,International Event,571,,,,
1064,Avignon Friendly,2023,,,MAG,junior,International Event,191,,,,
1076,Chinese National Student Youth Games,2023,,,MAG and WAG,junior,International Event,1334,,,,
1176,Dutch Euros Trials,2023,,,WAG,senior,International Event,40,,,,
1006,Dutch Worlds Trials 1,2023,,,MAG,senior,World Championships,98,,,,
1065,EYOF Mixed Pairs,2023,,,MAG and WAG,junior,International Event,80,,,,
1063,German Worlds Trials 2,2023,,,MAG,senior,World Championships,111,,,,
1081,Ghent Friendly,2023,,,MAG,senior,International Event,102,,,,
1166,Hungary Masters Championships,2023,,,WAG,junior and senior,International Event,91,,,,
1058,Innsbruck Friendly,2023,,,MAG,junior and senior,International Event,171,,,,
971,Italian Serie A Final Six,2023,,,MAG and WAG,junior and senior,International Event,258,,,,
1135,July National Team Camp,2023,,,WAG,junior and senior,International Event,72,,,,
1115,Las Vegas National Qualifier,2023,,,WAG,junior and senior,International Event,285,,,,
1008,Lenzburg Friendly,2023,,,MAG,senior,International Event,99,,,,
1099,Swiss Euros Trials 3,2023,,,MAG,senior,International Event,60,,,,
1096,Swiss Worlds Trials,2023,,,MAG,senior,World Championships,170,,,,
1169,WOGA Classic,2023,,,WAG,junior and senior,International Event,86,,,,
1126,WOGA Classic National Qualifier,2023,,,WAG,junior and senior,International Event,252,,,,
