event_id,name,year,start_date,end_date,discipline,category,old_level,new_level,result_count
1155,Malta Championships,2023,2023-03-25,2023-03-26,WAG,junior and senior,International Event,National Event,90
1378,Malta Championships,2024,2024-03-21,2024-03-21,WAG,junior and senior,International Event,National Event,49
1594,Malta Championships,2025,2025-03-14,2025-03-16,WAG,junior and senior,International Event,National Event,40
675,March National Team Camp,2021,2021-03-13,2021-03-13,WAG,junior and senior,International Event,National Event,104
896,March U.S. National Team Camp,2022,2022-03-31,2022-04-03,WAG,junior and senior,International Event,National Event,170
498,Metroplex National Qualifier,2020,2020-01-24,2020-01-26,WAG,junior and senior,International Event,National Event,664
876,Metroplex National Qualifier,2022,2022-02-18,2022-02-20,WAG,junior and senior,International Event,National Event,258
1570,Metroplex National Qualifier,2025,2025-02-13,2025-02-16,WAG,junior and senior,International Event,National Event,304
87,Mexican Championships,2018,2018-05-27,2018-06-03,MAG and WAG,junior and senior,International Event,National Event,1040
299,Mexican Championships,2019,2019-05-30,2019-06-02,MAG and WAG,junior and senior,International Event,National Event,486
747,Mexican Championships,2022,2022-05-23,2022-05-27,MAG and WAG,senior,International Event,National Event,361
1011,Mexican Championships,2023,2023-05-14,2023-05-18,MAG and WAG,junior and senior,International Event,National Event,557
1247,Mexican Championships,2024,2024-05-27,2024-05-31,MAG and WAG,senior,International Event,National Event,330
1452,Mexican Championships,2025,2025-05-28,2025-06-03,MAG and WAG,junior and senior,International Event,National Event,643
1615,Mexican Championships,2026,2026-05-07,2026-05-13,MAG and WAG,junior and senior,International Event,National Event,883
1619,NCAA Week 1,2026,2026-01-09,2026-01-11,MAG,senior,International Event,National Event,229
1623,NCAA Week 10,2026,2026-03-14,2026-03-14,MAG,senior,International Event,National Event,252
1628,NCAA Week 11,2026,2026-03-16,2026-03-22,MAG,senior,International Event,National Event,341
1629,NCAA Week 11 (Meet 2),2026,2026-03-16,2026-03-22,MAG,senior,International Event,National Event,49
1618,NCAA Week 3,2026,2026-01-24,2026-01-24,MAG,senior,International Event,National Event,127
1673,NCAA Week 4,2026,2026-01-31,2026-02-01,MAG,senior,International Event,National Event,200
1624,NCAA Week 5,2026,2026-02-07,2026-02-07,MAG,senior,International Event,National Event,293
1630,NCAA Week 6,2026,2026-02-13,2026-02-14,MAG,senior,International Event,National Event,250
1680,NCAA Week 7,2026,2026-02-21,2026-02-21,MAG,senior,International Event,National Event,48
1621,NCAA Week 8,2026,2026-02-28,2026-03-01,MAG,senior,International Event,National Event,349
1620,NCAA Week 9,2026,2026-03-07,2026-03-07,MAG,senior,International Event,National Event,353
897,NTTC National Qualifier,2022,2022-04-09,2022-04-10,WAG,junior and senior,International Event,National Event,175
127,New Zealand Championships,2018,2018-10-03,2018-10-06,MAG and WAG,junior and senior,International Event,National Event,170
321,New Zealand Championships,2019,2019-10-02,2019-10-05,MAG and WAG,junior and senior,International Event,National Event,141
530,New Zealand Championships,2021,2021-07-21,2021-07-24,MAG and WAG,junior and senior,International Event,National Event,171
934,New Zealand Championships,2022,2022-07-13,2022-07-16,WAG,junior and senior,International Event,National Event,49
1095,New Zealand Championships,2023,2023-07-05,2023-07-08,MAG and WAG,junior and senior,International Event,National Event,203
1289,New Zealand Championships,2024,2024-10-07,2024-10-11,MAG and WAG,junior and senior,International Event,National Event,204
1549,New Zealand Championships,2025,2025-09-23,2025-09-27,MAG and WAG,junior and senior,International Event,National Event,218
1719,Next Era National Qualifier,2026,2026-01-30,2026-02-01,WAG,junior and senior,International Event,National Event,21
135,Norwegian Championships,2018,2018-09-22,2018-09-23,MAG and WAG,senior,International Event,National Event,381
290,Norwegian Championships,2019,2019-06-28,2019-06-29,MAG and WAG,senior,International Event,National Event,440
495,Norwegian Championships,2020,2020-09-26,2020-09-27,MAG and WAG,junior and senior,International Event,National Event,361
641,Norwegian Championships,2021,2021-10-02,2021-10-03,MAG and WAG,junior and senior,International Event,National Event,350
814,Norwegian Championships,2022,2022-06-17,2022-06-19,MAG and WAG,senior,International Event,National Event,391
1047,Norwegian Championships,2023,2023-06-17,2023-06-18,MAG and WAG,senior,International Event,National Event,461
1281,Norwegian Championships,2024,2024-09-07,2024-09-08,MAG and WAG,junior and senior,International Event,National Event,669
1490,Norwegian Championships,2025,2025-06-14,2025-06-15,MAG and WAG,junior and senior,International Event,National Event,594
1675,Norwegian Championships,2026,2026-06-20,2026-06-21,MAG and WAG,senior,International Event,National Event,590
170,Norwegian Junior Championships,2018,2018-06-16,2018-06-17,WAG,junior,International Event,National Event,409
424,Norwegian Junior Championships,2019,2019-06-01,2019-06-02,WAG,junior,International Event,National Event,502
493,Norwegian Junior Championships,2020,2020-10-24,2020-10-25,MAG and WAG,junior,International Event,National Event,588
597,Norwegian Junior Championships,2021,2021-10-23,2021-10-24,MAG and WAG,junior,International Event,National Event,950
817,Norwegian Junior Championships,2022,2022-06-11,2022-06-12,MAG and WAG,junior,International Event,National Event,549
1014,Norwegian Junior Championships,2023,2023-06-03,2023-06-04,MAG and WAG,junior,International Event,National Event,604
1370,Norwegian Junior Championships,2024,2024-10-25,2024-10-27,WAG,junior,International Event,National Event,241
1493,Norwegian Junior Championships,2025,2025-10-25,2025-10-26,MAG and WAG,junior,International Event,National Event,588
291,Norweigan Junior Championships,2019,2019-06-01,2019-06-02,MAG,junior,International Event,National Event,270
366,Parkettes National Qualifier,2019,2019-06-01,2019-06-03,WAG,junior and senior,International Event,National Event,541
642,Parkettes National Qualifier,2021,2021-04-09,2021-04-11,WAG,junior and senior,International Event,National Event,474
926,Parkettes National Qualifier,2022,2022-06-10,2022-06-12,WAG,junior and senior,International Event,National Event,299
1121,Parkettes National Qualifier,2023,2023-06-02,2023-06-04,WAG,junior and senior,International Event,National Event,360
1342,Parkettes National Qualifier,2024,2024-04-05,2024-04-07,WAG,junior and senior,International Event,National Event,227
1710,Parkettes National Qualifier,2026,2026-06-12,2026-06-13,WAG,junior and senior,International Event,National Event,97
1109,Philippine National Games,2023,2023-12-17,2023-12-22,MAG,senior,International Event,National Event,59
1581,Pikes Peak Cup National Qualifier,2025,2025-01-23,2025-01-26,WAG,junior and senior,International Event,National Event,140
55,Polish Championships,2018,2018-06-28,2018-07-01,MAG and WAG,junior and senior,International Event,National Event,770
337,Polish Championships,2019,2019-04-26,2019-04-28,MAG and WAG,junior and senior,International Event,National Event,614
461,Polish Championships,2020,2020-11-07,2020-11-08,MAG and WAG,junior and senior,International Event,National Event,766
630,Polish Championships,2021,,,MAG and WAG,junior and senior,International Event,National Event,541
859,Polish Championships,2022,2022-06-10,2022-06-12,MAG and WAG,junior and senior,International Event,National Event,902
