conflict_group,db_event,choice,notes,option_1,option_2,option_3,option_4
1,ID 763 | Top 12 Series 1 | MAG and WAG | 199 result,1 and 2,,1: calendar row 10 | Feb 12 | Top 12 Series 1 (MAG) | 2022-02-12 to 2022-02-12,2: calendar row 33 | Mar 26 | Top 12 Series 1 | 2022-03-26 to 2022-03-26,,
2,ID 766 | Top 12 Series 2 | MAG and WAG | 204 result,1 and 2,,1: calendar row 15 | Feb 26 | Top 12 Series 2 (MAG) | 2022-02-26 to 2022-02-26,2: calendar row 45 | Apr 9 | Top 12 Series 2 | 2022-04-09 to 2022-04-09,,
3,ID 762 | Top 12 Series 3 | MAG and WAG | 203 result,1 and 2,,1: calendar row 24 | Mar 12 | Top 12 Series 3 (MAG) | 2022-03-12 to 2022-03-12,2: calendar row 59 | Apr 30 | Top 12 Series 3 | 2022-04-30 to 2022-04-30,,
4,ID 828 | 1st Bundesliga | MAG and WAG | 484 result,1 and 2,,1: calendar row 63 | May 7 | 1st Bundesliga (MAG) | 2022-05-07 to 2022-05-07,2: calendar row 75 | May 21 | 1st Bundesliga | 2022-05-21 to 2022-05-21,,
5,ID 778 | 2nd Bundesliga | MAG and WAG | 482 result,1 and 2,,1: calendar row 66 | May 14 | 2nd Bundesliga (MAG) | 2022-05-14 to 2022-05-14,2: calendar row 120 | Jul 2 | 2nd Bundesliga | 2022-07-02 to 2022-07-02,,
6,ID 781 | 3rd Bundesliga | MAG and WAG | 486 result,1 and 2,,1: calendar row 76 | May 21 | 3rd Bundesliga (MAG) | 2022-05-21 to 2022-05-21,2: calendar row 170 | Oct 1 | 3rd Bundesliga | 2022-10-01 to 2022-10-01,,
7,ID 785 | 4th Bundesliga | MAG and WAG | 489 result,1 and 2,,1: calendar row 94 | Jun 4 | 4th Bundesliga (MAG) | 2022-06-04 to 2022-06-04,2: calendar row 199 | Nov 12 | 4th Bundesliga | 2022-11-12 to 2022-11-12,,
