event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
887,1st Spanish League 2023,WAG,junior and senior,International Event,571,,,1: row 261 | Dec 2-3 | 1st Spanish League (2024 season) | 2023-12-02 to 2023-12-03 | confidence 0.681,2: row 12 | Feb 4-5 | 2nd Spanish League | 2023-02-04 to 2023-02-05 | confidence 0.616,3: row 87 | Apr 29-30 | 3rd Spanish League | 2023-04-29 to 2023-04-30 | confidence 0.616,4: row 132 | Jun 16-18 | Spanish League Final | 2023-06-16 to 2023-06-18 | confidence 0.593,
1064,Avignon Friendly,MAG,junior,International Event,191,,,1: row 118 | May 28 | Avignon Men's Friendly | 2023-05-28 to 2023-05-28 | confidence 0.781,2: row 170 | Aug 26 | Linz Friendly | 2023-08-26 to 2023-08-26 | confidence 0.610,3: row 55 | Mar 18 | Magglingen Friendly | 2023-03-18 to 2023-03-18 | confidence 0.600,4: row 152 | Jul 27 | Minsk Friendly | 2023-07-27 to 2023-07-27 | confidence 0.593,5: row 248 | Nov 22-25 | Kazan Friendly | 2023-11-22 to 2023-11-25 | confidence 0.593
1076,Chinese National Student Youth Games,MAG and WAG,junior,International Event,1334,,,1: row 234 | Nov 6-13 | Chinese National Student-Youth Games | 2023-11-06 to 2023-11-13 | confidence 0.807,2: row 265 | Dec 17-22 | Philippine National Games | 2023-12-17 to 2023-12-22 | confidence 0.522,3: row 111 | May 21-28 | Chinese Championships | 2023-05-21 to 2023-05-28 | confidence 0.400,4: row 217 | Oct 27-28 | French National Team Review | 2023-10-27 to 2023-10-28 | confidence 0.395,5: row 10 | Feb 3-5 | Buckeye National Qualifier | 2023-02-03 to 2023-02-05 | confidence 0.365
1176,Dutch Euros Trials,WAG,senior,International Event,40,,,1: row 59 | Mar 24 | Dutch Euros Trials 1 | 2023-03-24 to 2023-03-24 | confidence 0.958,2: row 70 | Apr 1 | Dutch Euros Trials 2 | 2023-04-01 to 2023-04-01 | confidence 0.958,3: row 145 | Jul 7-8 | Dutch EYOF Trials | 2023-07-07 to 2023-07-08 | confidence 0.732,4: row 180 | Sep 2 | Dutch Worlds Trials | 2023-09-02 to 2023-09-02 | confidence 0.702,5: row 191 | Sep 16 | Dutch Worlds Trials 2 | 2023-09-16 to 2023-09-16 | confidence 0.640
1006,Dutch Worlds Trials 1,MAG,senior,World Championships,98,,,1: row 180 | Sep 2 | Dutch Worlds Trials | 2023-09-02 to 2023-09-02 | confidence 0.960,2: row 191 | Sep 16 | Dutch Worlds Trials 2 | 2023-09-16 to 2023-09-16 | confidence 0.829,3: row 59 | Mar 24 | Dutch Euros Trials 1 | 2023-03-24 to 2023-03-24 | confidence 0.749,4: row 161 | Aug 18 | Dutch Men's Worlds Trials | 2023-08-18 to 2023-08-18 | confidence 0.747,5: row 174 | Aug 29 | Dutch Men's Worlds Trials 2 | 2023-08-29 to 2023-08-29 | confidence 0.717
1065,EYOF Mixed Pairs,MAG and WAG,junior,International Event,80,,,1: row 57 | Mar 19 | DTB Pokal Mixed Cup | 2023-03-19 to 2023-03-19 | confidence 0.393,2: row 145 | Jul 7-8 | Dutch EYOF Trials | 2023-07-07 to 2023-07-08 | confidence 0.385,3: row 123 | Jun 3 | German EYOF Trials | 2023-06-03 to 2023-06-03 | confidence 0.376,,
1063,German Worlds Trials 2,MAG,senior,World Championships,111,,,1: row 169 | Aug 26 | German Worlds Trials 1 | 2023-08-26 to 2023-08-26 | confidence 0.830,2: row 191 | Sep 16 | Dutch Worlds Trials 2 | 2023-09-16 to 2023-09-16 | confidence 0.694,3: row 174 | Aug 29 | Dutch Men's Worlds Trials 2 | 2023-08-29 to 2023-08-29 | confidence 0.653,4: row 123 | Jun 3 | German EYOF Trials | 2023-06-03 to 2023-06-03 | confidence 0.628,5: row 166 | Aug 25-26 | Canadian Worlds Trials | 2023-08-25 to 2023-08-26 | confidence 0.613
1081,Ghent Friendly,MAG,senior,International Event,102,,,1: row 171 | Aug 26 | Ghent Men's Friendly | 2023-08-26 to 2023-08-26 | confidence 0.769,2: row 170 | Aug 26 | Linz Friendly | 2023-08-26 to 2023-08-26 | confidence 0.598,3: row 140 | Jul 1 | Epernay Friendly | 2023-07-01 to 2023-07-01 | confidence 0.593,4: row 55 | Mar 18 | Magglingen Friendly | 2023-03-18 to 2023-03-18 | confidence 0.589,5: row 152 | Jul 27 | Minsk Friendly | 2023-07-27 to 2023-07-27 | confidence 0.581
1166,Hungary Masters Championships,WAG,junior and senior,International Event,91,,,1: row 230 | Nov 4-5 | Hungarian Masters Championships | 2023-11-04 to 2023-11-05 | confidence 0.782,2: row 194 | Sep 16-17 | Hungarian Championships | 2023-09-16 to 2023-09-17 | confidence 0.613,3: row 56 | Mar 18-19 | Hungarian Team Championships | 2023-03-18 to 2023-03-19 | confidence 0.595,4: row 144 | Jul 6-9 | German Championships | 2023-07-06 to 2023-07-09 | confidence 0.565,5: row 43 | Mar 9-19 | Singapore Championships | 2023-03-09 to 2023-03-19 | confidence 0.562
1058,Innsbruck Friendly,MAG,junior and senior,International Event,171,,,1: row 34 | Mar 4 | Innsbruck Men's Friendly | 2023-03-04 to 2023-03-04 | confidence 0.790,2: row 152 | Jul 27 | Minsk Friendly | 2023-07-27 to 2023-07-27 | confidence 0.645,3: row 170 | Aug 26 | Linz Friendly | 2023-08-26 to 2023-08-26 | confidence 0.578,4: row 55 | Mar 18 | Magglingen Friendly | 2023-03-18 to 2023-03-18 | confidence 0.538,5: row 187 | Sep 9 | Heidelberg Friendly | 2023-09-09 to 2023-09-09 | confidence 0.538
