calendar_year,calendar_sheet,calendar_row,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,selected_event_id,action,notes,suggestion_1_event_id,suggestion_1_event_name,suggestion_1_event_year,suggestion_1_start_date,suggestion_1_end_date,suggestion_1_discipline,suggestion_1_category,suggestion_1_level,suggestion_1_result_count,suggestion_1_confidence,suggestion_1_reason,suggestion_2_event_id,suggestion_2_event_name,suggestion_2_event_year,suggestion_2_start_date,suggestion_2_end_date,suggestion_2_discipline,suggestion_2_category,suggestion_2_level,suggestion_2_result_count,suggestion_2_confidence,suggestion_2_reason,suggestion_3_event_id,suggestion_3_event_name,suggestion_3_event_year,suggestion_3_start_date,suggestion_3_end_date,suggestion_3_discipline,suggestion_3_category,suggestion_3_level,suggestion_3_result_count,suggestion_3_confidence,suggestion_3_reason
2019,2019,2,Jan 18-20,2019-01-18,2019-01-20,RD761 Junior International Cup,,,,,339,RD761 International Cup,2019,,,MAG,junior,International Event,212,0.981,name_similarity=0.88; token_overlap=0.75; has_results=212; same_year,215,International Junior Team Cup,2019,,,MAG,junior and senior,International Event,1168,0.752,name_similarity=0.60; token_overlap=0.60; has_results=1168; same_year,357,Calgary International Cup,2019,,,MAG,senior,International Event,80,0.739,name_similarity=0.69; token_overlap=0.40; has_results=80; same_year
2019,2019,16,Feb 16,2019-02-16,2019-02-16,Top 12 Semi-Finals I (MAG),,,,,383,Top 12 Semi-Finals,2019,,,WAG,junior and senior,International Event,161,1.0,name_similarity=0.88; token_overlap=0.60; name_contains_variant; has_results=161; same_year,319,Top 12 Semi-Final I,2019,,,MAG,junior and senior,International Event,96,0.899,name_similarity=0.88; token_overlap=0.50; has_results=96; same_year,320,Top 12 Semi-Final II,2019,,,MAG,senior,International Event,96,0.807,name_similarity=0.86; token_overlap=0.29; has_results=96; same_year
2019,2019,27,Mar 2,2019-03-02,2019-03-02,Top 12 Semi-Finals II (MAG),,,,,383,Top 12 Semi-Finals,2019,,,WAG,junior and senior,International Event,161,0.997,name_similarity=0.86; token_overlap=0.60; name_contains_variant; has_results=161; same_year,320,Top 12 Semi-Final II,2019,,,MAG,senior,International Event,96,0.903,name_similarity=0.89; token_overlap=0.50; has_results=96; same_year,319,Top 12 Semi-Final I,2019,,,MAG,junior and senior,International Event,96,0.807,name_similarity=0.86; token_overlap=0.29; has_results=96; same_year
2019,2019,43,Mar 15-17,2019-03-15,2019-03-17,U of Calgary International Cup,,,,,357,Calgary International Cup,2019,,,MAG,senior,International Event,80,1.0,name_similarity=0.94; token_overlap=0.60; name_contains_variant; has_results=80; same_year,339,RD761 International Cup,2019,,,MAG,junior,International Event,212,0.737,name_similarity=0.72; token_overlap=0.33; has_results=212; same_year,406,GymStars International,2019,,,WAG,junior and senior,International Event,205,0.651,name_similarity=0.68; token_overlap=0.17; has_results=205; same_year
2019,2019,60,Apr 6,2019-04-06,2019-04-06,Zelena Jama Open,,,,,307,Austrian Team Open,2019,,,MAG and WAG,junior and senior,International Event,245,0.526,name_similarity=0.47; token_overlap=0.20; has_results=245; same_year,322,Singapore Open,2019,,,MAG and WAG,junior and senior,International Event,514,0.498,name_similarity=0.40; token_overlap=0.25; has_results=514; same_year,225,Elite Canada,2019,,,MAG and WAG,junior and senior,International Event,819,0.462,name_similarity=0.48; token_overlap=0.00; has_results=819; same_year
2019,2019,75,May 6-11,2019-05-06,2019-05-11,Russian Junior Men's Championships,,,,,301,Russian Junior Championships,2019,,,MAG and WAG,junior,International Event,2054,1.0,name_similarity=0.93; token_overlap=0.75; has_results=2054; same_year,245,Swedish Junior Men's Championships,2019,,,MAG,junior,International Event,88,0.914,name_similarity=0.85; token_overlap=0.60; has_results=88; same_year,302,Russian Championships,2019,,,MAG and WAG,senior,International Event,1316,0.845,name_similarity=0.80; token_overlap=0.50; has_results=1316; same_year
2019,2019,85,May 18-19,2019-05-18,2019-05-19,Nordic Junior Men's Championships,,,,,214,Nordic Junior Championships,2019,,,MAG and WAG,junior,International Event,558,1.0,name_similarity=0.93; token_overlap=0.75; has_results=558; same_year,245,Swedish Junior Men's Championships,2019,,,MAG,junior,International Event,88,0.923,name_similarity=0.87; token_overlap=0.60; has_results=88; same_year,424,Norwegian Junior Championships,2019,,,WAG,junior,International Event,502,0.815,name_similarity=0.81; token_overlap=0.40; has_results=502; same_year
2019,2019,129,Jun 21-22,2019-06-21,2019-06-22,Sarruguemines Cup,,,,,429,Sarreguemines Cup,2019,,,WAG,junior and senior,International Event,137,0.878,name_similarity=0.94; token_overlap=0.33; has_results=137; same_year,303,Russian Cup,2019,,,MAG and WAG,junior and senior,International Event,768,0.638,name_similarity=0.57; token_overlap=0.33; has_results=768; same_year,397,Swedish Cup,2019,,,WAG,junior and senior,International Event,154,0.638,name_similarity=0.57; token_overlap=0.33; has_results=154; same_year
2019,2019,152,Aug 8-11,2019-08-08,2019-08-11,U.S. Championships,,,,,257,U.S. Championships D2,2019,,,MAG and WAG,junior and senior,International Event,718,1.0,name_similarity=0.94; token_overlap=0.67; name_contains_variant; has_results=718; same_year,258,U.S. Championships D1,2019,,,MAG and WAG,junior and senior,International Event,713,1.0,name_similarity=0.94; token_overlap=0.67; name_contains_variant; has_results=713; same_year,274,GK Championships,2019,,,MAG and WAG,junior and senior,International Event,279,0.83,name_similarity=0.87; token_overlap=0.33; has_results=279; same_year
2019,2019,195,Oct 25-26,2019-10-25,2019-10-26,Hungarian Master Championships,,,,,244,Hungarian Championships,2019,,,MAG and WAG,senior,International Event,166,0.955,name_similarity=0.88; token_overlap=0.67; has_results=166; same_year,242,Hungarian National League Championships,2019,,,MAG and WAG,senior,International Event,72,0.799,name_similarity=0.78; token_overlap=0.40; has_results=72; same_year,340,Lithuanian Championships,2019,,,MAG and WAG,junior and senior,International Event,213,0.722,name_similarity=0.75; token_overlap=0.25; has_results=213; same_year
