metric,value
year,2024
calendar_rows,222
calendar_matched_rows,204
calendar_unmatched_rows,18
calendar_rows_matching_multiple_db_events,0
db_events,207
db_matched_events,197
db_unmatched_events,10
db_unmatched_events_with_results,10
db_events_matched_by_multiple_calendar_rows,7
matched_event_source_conflicts,6
duplicate_source_rows,0
calendar_minus_db_unmatched_delta,8
source_issues,0
