calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3,option_4,option_5
5,NCAA Week 2,Jan 16-18,2026-01-16,2026-01-18,No one,,,1: ID 1620 | NCAA Week 9 | MAG | 353 result | confidence 0.766,2: ID 1621 | NCAA Week 8 | MAG | 349 result | confidence 0.766,3: ID 1624 | NCAA Week 5 | MAG | 293 result | confidence 0.766,4: ID 1630 | NCAA Week 6 | MAG | 250 result | confidence 0.766,5: ID 1619 | NCAA Week 1 | MAG | 229 result | confidence 0.766
49,Fjölnir Cup,Mar 21,2026-03-21,2026-03-21,No one,,,1: ID 1663 | Tiger Cup | MAG and WAG | 670 result | confidence 0.507,2: ID 1631 | Winter Cup | MAG and WAG | 760 result | confidence 0.488,3: ID 1660 | Russian Cup | MAG and WAG | 1572 result | confidence 0.412,4: ID 1691 | American Cup | MAG and WAG | 72 result | confidence 0.399,5: ID 1665 | Cairo World Cup | MAG and WAG | 444 result | confidence 0.388
50,Russian Junior Men's Team Championships,Mar 22-29,2026-03-22,2026-03-29,1,,,1: ID 1667 | Russian Junior Team Championships | MAG and WAG | 2132 result | confidence 0.876,2: ID 1677 | Russian Championships | MAG and WAG | 1080 result | confidence 0.595,3: ID 1707 | Romanian Junior Championships | WAG | 173 result | confidence 0.595,4: ID 1678 | German Junior Championships | MAG and WAG | 1302 result | confidence 0.589,5: ID 1606 | Finnish Junior Championships | MAG and WAG | 540 result | confidence 0.544
65,Ifact Norges Cup 1,Apr 18-19,2026-04-18,2026-04-19,calendar_only,,"In the 2026 results; Admin note referenced Results 2026, but parsed Results/Event DB contain no Ifact/Norges Cup 1/2 event; kept as calendar_only pending future source correction.",1: ID 1663 | Tiger Cup | MAG and WAG | 670 result | confidence 0.407,2: ID 1631 | Winter Cup | MAG and WAG | 760 result | confidence 0.395,3: ID 1637 | Antalya World Cup | MAG and WAG | 480 result | confidence 0.393,4: ID 1653 | Cottbus World Cup | MAG and WAG | 464 result | confidence 0.393,5: ID 1660 | Russian Cup | MAG and WAG | 1572 result | confidence 0.384
80,Ifact Norges Cup 2,May 9-10,2026-05-09,2026-05-10,calendar_only,,"In the 2026 results; Admin note referenced Results 2026, but parsed Results/Event DB contain no Ifact/Norges Cup 1/2 event; kept as calendar_only pending future source correction.",1: ID 1663 | Tiger Cup | MAG and WAG | 670 result | confidence 0.407,2: ID 1631 | Winter Cup | MAG and WAG | 760 result | confidence 0.395,3: ID 1637 | Antalya World Cup | MAG and WAG | 480 result | confidence 0.393,4: ID 1653 | Cottbus World Cup | MAG and WAG | 464 result | confidence 0.393,5: ID 1660 | Russian Cup | MAG and WAG | 1572 result | confidence 0.384
101,British Men's Team Championships,Jun 6-7,2026-06-06,2026-06-07,1,,,1: ID 1654 | British Team Championships | MAG | 483 result | confidence 0.845,2: ID 1609 | British Championships | MAG and WAG | 2543 result | confidence 0.690,3: ID 1667 | Russian Junior Team Championships | MAG and WAG | 2132 result | confidence 0.557,4: ID 1695 | Irish Championships | MAG and WAG | 268 result | confidence 0.529,5: ID 1607 | Finnish Championships | MAG and WAG | 399 result | confidence 0.512
108,Asian Men's Championships,Jun 18-21,2026-06-18,2026-06-21,1,,,1: ID 1636 | Asian Championships | MAG and WAG | 1667 result | confidence 0.795,2: ID 1684 | Austrian Championships | MAG and WAG | 397 result | confidence 0.613,3: ID 1677 | Russian Championships | MAG and WAG | 1080 result | confidence 0.596,4: ID 1632 | African Championships | MAG and WAG | 868 result | confidence 0.596,5: ID 1656 | Australian Championships | MAG and WAG | 951 result | confidence 0.592
114,Hopes Classic,Jun 26,2026-06-26,2026-06-26,No one,,,1: ID 1705 | American Classic | WAG | 156 result | confidence 0.520,,,,
115,German Junior Men's Championships,Jun 26-28,2026-06-26,2026-06-28,1,,,1: ID 1678 | German Junior Championships | MAG and WAG | 1302 result | confidence 0.848,2: ID 1707 | Romanian Junior Championships | WAG | 173 result | confidence 0.664,3: ID 1667 | Russian Junior Team Championships | MAG and WAG | 2132 result | confidence 0.629,4: ID 1606 | Finnish Junior Championships | MAG and WAG | 540 result | confidence 0.609,5: ID 1635 | Singapore Championships | MAG and WAG | 367 result | confidence 0.511
