event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
357,Calgary International Cup,MAG,senior,International Event,80,,,1: row 43 | Mar 15-17 | U of Calgary International Cup | 2019-03-15 to 2019-03-17 | confidence 0.881,2: row 2 | Jan 18-20 | RD761 Junior International Cup | 2019-01-18 to 2019-01-20 | confidence 0.589,3: row 226 | Nov 16-17 | GymStars International | 2019-11-16 to 2019-11-17 | confidence 0.558,4: row 58 | Apr 5 | International Junior Team Cup | 2019-04-05 to 2019-04-05 | confidence 0.549,5: row 219 | Nov 9-10 | Björk International | 2019-11-09 to 2019-11-10 | confidence 0.531
249,Hungarian Masters,MAG and WAG,junior and senior,International Event,245,,,1: row 195 | Oct 25-26 | Hungarian Master Championships | 2019-10-25 to 2019-10-26 | confidence 0.558,2: row 167 | Aug 30-Sep 1 | Hungarian Championships | 2019-08-30 to 2019-09-01 | confidence 0.539,3: row 38 | Mar 9-10 | Hungarian National League Championships | 2019-03-09 to 2019-03-10 | confidence 0.372,4: row 131 | Jun 22 | American Classic | 2019-06-22 to 2019-06-22 | confidence 0.355,
273,Iceland Team Championships,MAG,senior,International Event,82,,,1: row 21 | Mar 1-2 | Icelandic Team Championships | 2019-03-01 to 2019-03-02 | confidence 0.801,2: row 217 | Nov 9-10 | All-Japan Team Championships | 2019-11-09 to 2019-11-10 | confidence 0.705,3: row 202 | Oct 26-27 | Swiss Team Championships | 2019-10-26 to 2019-10-27 | confidence 0.695,4: row 218 | Nov 9-10 | Irish Team Championships | 2019-11-09 to 2019-11-10 | confidence 0.695,5: row 225 | Nov 16-17 | Dutch Team Championships | 2019-11-16 to 2019-11-17 | confidence 0.695
269,Larisa Latynina Cup,MAG and WAG,junior and senior,International Event,504,,,1: row 239 | Dec 1-5 | Latynina Cup | 2019-12-01 to 2019-12-05 | confidence 0.817,2: row 24 | Mar 2 | American Cup | 2019-03-02 to 2019-03-02 | confidence 0.465,3: row 92 | May 24-25 | Slovakian Cup | 2019-05-24 to 2019-05-25 | confidence 0.453,4: row 180 | Sep 14-15 | Paris Challenge Cup | 2019-09-14 to 2019-09-15 | confidence 0.446,5: row 118 | Jun 12-15 | Asian Junior Cup | 2019-06-12 to 2019-06-15 | confidence 0.441
291,Norweigan Junior Championships,MAG,junior,International Event,270,,,1: row 103 | Jun 1-2 | Norwegian Junior Championships | 2019-06-01 to 2019-06-02 | confidence 0.803,2: row 84 | May 18-19 | Nordic Junior Championships | 2019-05-18 to 2019-05-19 | confidence 0.745,3: row 81 | May 13-18 | Russian Junior Championships | 2019-05-13 to 2019-05-18 | confidence 0.735,4: row 104 | Jun 1-2 | Austrian Junior Championships | 2019-06-01 to 2019-06-02 | confidence 0.726,5: row 121 | Jun 14 | Romanian Junior Championships | 2019-06-14 to 2019-06-14 | confidence 0.726
339,RD761 International Cup,MAG,junior,International Event,212,,,1: row 2 | Jan 18-20 | RD761 Junior International Cup | 2019-01-18 to 2019-01-20 | confidence 0.827,2: row 43 | Mar 15-17 | U of Calgary International Cup | 2019-03-15 to 2019-03-17 | confidence 0.583,3: row 58 | Apr 5 | International Junior Team Cup | 2019-04-05 to 2019-04-05 | confidence 0.565,4: row 219 | Nov 9-10 | Björk International | 2019-11-09 to 2019-11-10 | confidence 0.552,5: row 223 | Nov 16-17 | Tournoi International | 2019-11-16 to 2019-11-17 | confidence 0.531
429,Sarreguemines Cup,WAG,junior and senior,International Event,137,,,1: row 129 | Jun 21-22 | Sarruguemines Cup | 2019-06-21 to 2019-06-22 | confidence 0.728,2: row 222 | Nov 16-17 | Swedish Cup | 2019-11-16 to 2019-11-17 | confidence 0.488,3: row 24 | Mar 2 | American Cup | 2019-03-02 to 2019-03-02 | confidence 0.475,4: row 210 | Nov 3 | Swiss Cup | 2019-11-03 to 2019-11-03 | confidence 0.467,5: row 92 | May 24-25 | Slovakian Cup | 2019-05-24 to 2019-05-25 | confidence 0.463
319,Top 12 Semi-Final I,MAG,junior and senior,International Event,96,,,1: row 26 | Mar 2 | Top 12 Semi-Finals | 2019-03-02 to 2019-03-02 | confidence 0.737,2: row 16 | Feb 16 | Top 12 Semi-Finals I (MAG) | 2019-02-16 to 2019-02-16 | confidence 0.736,3: row 27 | Mar 2 | Top 12 Semi-Finals II (MAG) | 2019-03-02 to 2019-03-02 | confidence 0.649,4: row 64 | Apr 26-27 | Top 12 Finals | 2019-04-26 to 2019-04-27 | confidence 0.628,5: row 15 | Feb 16 | Top 12 Series 3 | 2019-02-16 to 2019-02-16 | confidence 0.537
320,Top 12 Semi-Final II,MAG,senior,International Event,96,,,1: row 27 | Mar 2 | Top 12 Semi-Finals II (MAG) | 2019-03-02 to 2019-03-02 | confidence 0.740,2: row 26 | Mar 2 | Top 12 Semi-Finals | 2019-03-02 to 2019-03-02 | confidence 0.722,3: row 16 | Feb 16 | Top 12 Semi-Finals I (MAG) | 2019-02-16 to 2019-02-16 | confidence 0.649,4: row 64 | Apr 26-27 | Top 12 Finals | 2019-04-26 to 2019-04-27 | confidence 0.613,5: row 15 | Feb 16 | Top 12 Series 3 | 2019-02-16 to 2019-02-16 | confidence 0.525
258,U.S. Championships D1,MAG and WAG,junior and senior,International Event,713,,,1: row 152 | Aug 8-11 | U.S. Championships | 2019-08-08 to 2019-08-11 | confidence 0.913,2: row 23 | Mar 1-3 | Turkish Championships | 2019-03-01 to 2019-03-03 | confidence 0.583,3: row 33 | Mar 4-10 | Russian Championships | 2019-03-04 to 2019-03-10 | confidence 0.583,4: row 77 | May 11 | GK Championships | 2019-05-11 to 2019-05-11 | confidence 0.579,5: row 19 | Feb 23-24 | Welsh Championships | 2019-02-23 to 2019-02-24 | confidence 0.575
