calendar_row,calendar_event,calendar_date,start_date,end_date,choice,manual_event_id,notes,option_1,option_2,option_3
2,RDI 761 Invitational,Jan 19-21,2018-01-19,2018-01-21,2,,,1: ID 208 | Houston National Invitational | WAG | 57 result | confidence 0.596,2: ID 43 | RD761 Junior International Cup | MAG | 298 result | confidence 0.583,3: ID 168 | Tournoi International | WAG | 440 result | confidence 0.562
5,Desert Lights National Qualifier,Jan 27-28,2018-01-27,2018-01-28,1,,,1: ID 146 | Desert Lights Qualifier | WAG | 324 result | confidence 0.959,2: ID 143 | Brestyan's National Qualifier | WAG | 395 result | confidence 0.786,3: ID 174 | Auburn National Qualifier | WAG | 499 result | confidence 0.746
6,Buckeye National Qualifier,Feb 1-2,2018-02-01,2018-02-02,1,,,1: ID 379 | Buckeye National Qualifier | WAG | 364 result | confidence 0.96,2: ID 148 | Buckeye Qualifier | WAG | 250 result | confidence 0.903,3: ID 174 | Auburn National Qualifier | WAG | 499 result | confidence 0.86
13,Orlando National Qualifier,Feb 9-11,2018-02-09,2018-02-11,1,,,1: ID 149 | Orlando Qualifier | WAG | 260 result | confidence 0.903,2: ID 174 | Auburn National Qualifier | WAG | 499 result | confidence 0.86,3: ID 160 | KPAC National Qualifier | WAG | 478 result | confidence 0.856
18,Top 12 Semi-Final (MAG),Feb 17,2018-02-17,2018-02-17,1 and 2,,The “semi-final” has 2 competitions,1: ID 104 | Top 12 Semi-Final 1 | MAG | 96 result | confidence 0.929,2: ID 106 | Top 12 Semi-Final 2 | MAG | 93 result | confidence 0.929,3: ID 119 | Top 12 Final | MAG and WAG | 128 result | confidence 0.771
37,Top 12 Finals (MAG & WAG),Mar 17,2018-03-17,2018-03-17,1,,,1: ID 119 | Top 12 Final | MAG and WAG | 128 result | confidence 0.763,2: ID 104 | Top 12 Semi-Final 1 | MAG | 96 result | confidence 0.613,3: ID 106 | Top 12 Semi-Final 2 | MAG | 93 result | confidence 0.613
49,U.S. April Verification Camp,Apr 7-8,2018-04-07,2018-04-08,1,,,1: ID 155 | U.S. Verification (April) | WAG | 114 result | confidence 0.908,2: ID 45 | U.S. Championships | MAG and WAG | 1399 result | confidence 0.531,3: ID 46 | U.S. Men's National Qualifier | MAG | 345 result | confidence 0.496
158,German Worlds Trials,Sep 15,2018-09-15,2018-09-15,1,,2 is not inside 1?,1: ID 97 | German Worlds Trial | MAG and WAG | 139 result | confidence 1.0,2: ID 443 | German Worlds Trials | WAG | 49 result | confidence 0.96,3: ID 191 | U.S. Worlds Trials | WAG | 45 result | confidence 0.813
162,U.S. Men's Worlds Trials,Sep 20-22,2018-09-20,2018-09-22,3,,,1: ID 191 | U.S. Worlds Trials | WAG | 45 result | confidence 0.981,2: ID 415 | U.S. Worlds Trials | WAG | 61 result | confidence 0.711,3: ID 74 | U.S. Men's World Team Selection | MAG | 96 result | confidence 0.699
