event_id,event_name,discipline,category,level,result_count,choice_calendar_row,notes,option_1,option_2,option_3,option_4,option_5
148,Buckeye Qualifier,WAG,junior and senior,International Event,250,1,,1: row 6 | Feb 1-2 | Buckeye National Qualifier | 2018-02-01 to 2018-02-02 | confidence 0.747,2: row 84 | May 24-26 | Auburn National Qualifier | 2018-05-24 to 2018-05-26 | confidence 0.459,3: row 116 | Jun 23-24 | Brestyan's National Qualifier | 2018-06-23 to 2018-06-24 | confidence 0.455,4: row 31 | Mar 8-11 | KPAC National Qualifier | 2018-03-08 to 2018-03-11 | confidence 0.445,5: row 113 | Jun 23 | Youth Olympic Games Qualifier | 2018-06-23 to 2018-06-23 | confidence 0.437
82,DTB Team Challenge,MAG,senior,International Event,403,1,,1: row 36 | Mar 16-18 | DTB Pokal Team Challenge | 2018-03-16 to 2018-03-18 | confidence 0.820,2: row 16 | Feb 15-17 | Winter Cup Challenge | 2018-02-15 to 2018-02-17 | confidence 0.481,3: row 94 | May 31-Jun 3 | Koper Challenge Cup | 2018-05-31 to 2018-06-03 | confidence 0.456,4: row 167 | Sep 27-30 | Paris Challenge Cup | 2018-09-27 to 2018-09-30 | confidence 0.456,5: row 85 | May 24-27 | Osijek Challenge Cup | 2018-05-24 to 2018-05-27 | confidence 0.446
54,Houston National Invite,MAG,senior,International Event,57,1,,1: row 8 | Feb 2-4 | Houston National Invitational | 2018-02-02 to 2018-02-04 | confidence 0.725,2: row 84 | May 24-26 | Auburn National Qualifier | 2018-05-24 to 2018-05-26 | confidence 0.476,3: row 116 | Jun 23-24 | Brestyan's National Qualifier | 2018-06-23 to 2018-06-24 | confidence 0.470,4: row 13 | Feb 9-11 | Orlando National Qualifier | 2018-02-09 to 2018-02-11 | confidence 0.468,5: row 137 | Jul 14 | U.S. Men's National Qualifier | 2018-07-14 to 2018-07-14 | confidence 0.458
64,Junior Pan Am Championships,MAG,junior,International Event,358,1,,1: row 104 | Jun 9-16 | Junior Pan American Championships | 2018-06-09 to 2018-06-16 | confidence 0.795,2: row 161 | Sep 19-23 | Junior Mediterranean Championships | 2018-09-19 to 2018-09-23 | confidence 0.651,3: row 59 | Apr 25-28 | Asian Junior Championships | 2018-04-25 to 2018-04-28 | confidence 0.631,4: row 101 | Jun 9-10 | Swiss Junior Championships | 2018-06-09 to 2018-06-10 | confidence 0.631,5: row 155 | Sep 14-16 | Pan American Championships | 2018-09-14 to 2018-09-16 | confidence 0.631
129,Swiss Duel,MAG and WAG,junior and senior,International Event,32,1,,1: row 198 | Nov 18 | Swiss Cup | 2018-11-18 to 2018-11-18 | confidence 0.596,2: row 165 | Sep 22-23 | Swiss Championships | 2018-09-22 to 2018-09-23 | confidence 0.386,,,
117,Ukraine Open Cup,MAG,senior,International Event,64,2,,1: row 106 | Jun 11-14 | Ukraine Cup | 2018-06-11 to 2018-06-14 | confidence 0.763,2: row 178 | Oct 13 | Kiev Open Cup | 2018-10-13 to 2018-10-13 | confidence 0.713,3: row 56 | Apr 21 | Austrian Team Open | 2018-04-21 to 2018-04-21 | confidence 0.452,4: row 21 | Feb 22-25 | Melbourne World Cup | 2018-02-22 to 2018-02-25 | confidence 0.441,5: row 107 | Jun 14-17 | Guimaraes Challenge Cup | 2018-06-14 to 2018-06-17 | confidence 0.437
