conflict_group,event_id,event_name,event_year,event_discipline,event_category,event_result_count,calendar_sheet,calendar_row,calendar_year,calendar_date,calendar_start_date,calendar_end_date,calendar_event,decision,action,notes
1,69,Top 12 Series 3,2018,MAG and WAG,junior and senior,196,2018,4,2018,Jan 27,2018-01-27,2018-01-27,Top 12 Series 3 (WAG),,,
1,69,Top 12 Series 3,2018,MAG and WAG,junior and senior,196,2018,208,2018,Dec 1,2018-12-01,2018-12-01,Top 12 Series 3 (MAG),,,
2,8,Top 12 Series 4,2018,MAG and WAG,junior and senior,256,2018,22,2018,Feb 24,2018-02-24,2018-02-24,Top 12 Series 4 (WAG),,,
2,8,Top 12 Series 4,2018,MAG and WAG,junior and senior,256,2018,215,2018,Dec 15,2018-12-15,2018-12-15,Top 12 Series 4 (MAG),,,
3,96,1st Bundesliga,2018,MAG and WAG,junior and senior,620,2018,28,2018,Mar 3,2018-03-03,2018-03-03,1st Bundesliga (MAG),,,
3,96,1st Bundesliga,2018,MAG and WAG,junior and senior,620,2018,29,2018,Mar 3-4,2018-03-03,2018-03-04,1st Bundesliga,,,
4,99,2nd Bundesliga,2018,MAG and WAG,junior and senior,677,2018,33,2018,Mar 10-11,2018-03-10,2018-03-11,2nd Bundesliga (MAG),,,
4,99,2nd Bundesliga,2018,MAG and WAG,junior and senior,677,2018,41,2018,Mar 24-25,2018-03-24,2018-03-25,2nd Bundesliga,,,
5,112,3rd Bundesliga,2018,MAG and WAG,junior and senior,675,2018,44,2018,Mar 31,2018-03-31,2018-03-31,3rd Bundesliga (MAG),,,
5,112,3rd Bundesliga,2018,MAG and WAG,junior and senior,675,2018,54,2018,Apr 14-15,2018-04-14,2018-04-15,3rd Bundesliga,,,
6,111,4th Bundesliga,2018,MAG and WAG,junior and senior,680,2018,48,2018,Apr 7,2018-04-07,2018-04-07,4th Bundesliga (MAG),,,
6,111,4th Bundesliga,2018,MAG and WAG,junior and senior,680,2018,197,2018,Nov 17-18,2018-11-17,2018-11-18,4th Bundesliga,,,
7,102,Top 12 Series 1,2018,MAG and WAG,junior and senior,202,2018,186,2018,Nov 10,2018-11-10,2018-11-10,Top 12 Series 1 (MAG),,,
7,102,Top 12 Series 1,2018,MAG and WAG,junior and senior,202,2018,202,2018,Nov 24,2018-11-24,2018-11-24,Top 12 Series 1,,,
8,107,Top 12 Series 2,2018,MAG and WAG,junior and senior,204,2018,196,2018,Nov 17,2018-11-17,2018-11-17,Top 12 Series 2 (MAG),,,
8,107,Top 12 Series 2,2018,MAG and WAG,junior and senior,204,2018,212,2018,Dec 8,2018-12-08,2018-12-08,Top 12 Series 2,,,
