metric,value
year,2021
calendar_rows,210
db_events,196
calendar_unmatched_rows,0
db_unmatched_events,0
db_matched_events,196
db_only_events,1
calendar_only_rows,1
season_year_spillover_entries,0
cross_year_calendar_entries,0
source_issues,0
