suggested_existing_athlete_id,suggested_existing_athlete,rows,imported_athlete_variants,review_ids,decision_signatures,status,note
3453,Anaelle Charpillet,2,Anaëlle Charpille | Anaëlle Charpillet,athlete_match_3e787c91dd363c2c | athlete_match_42ac10f2a9777662,merge as same athlete//,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
4337,Emily Moorehead,2,Emily Moorehead | Emily Moorhead,athlete_identity_collision_f41c5e0927d7cc19 | athlete_match_6147e846debeb771,merge as same athlete/canonical country/IRL,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
1248,Ivan Karasyev,2,Ivan Karasev | Ivan Karasyov,athlete_match_16b04530535bc6bd | athlete_match_5621a376cdb527cf,merge as same athlete//,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
1369,Jermain Grünberg,2,Jermain Gruenberg | Jermain Grunberg,athlete_match_28635cc499299394 | athlete_match_8a06f4d9ea5d2020,merge as same athlete//,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
1400,Joan Prat Bellasoia,2,Joan Prat Bellasoia | Joan Prat Bellsola,athlete_country_46f8a007fff186a1 | athlete_match_85cd9be6f6e1e5c8,merge as same athlete/canonical country/AND,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
2106,Nahel Bouanane,2,Nahel Bouanane | Nahel Bounane,athlete_country_98c862313331ec23 | athlete_match_8658439b88872f1f,merge as same athlete/country history/MAR | merge as same athlete//,coherent_row_level_variants,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
6301,Rachael McMaster,2,Rachael McMaster | Rachel McMaster,athlete_identity_collision_de85e516f0cfda23 | athlete_match_997b7b1db902dc3d,merge as same athlete/canonical country/IRL | merge as same athlete//,coherent_row_level_variants,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
2814,Timofey Prostakov,2,Timofei Prostakov | Timofei Prostakoy,athlete_match_8c70f1696b24971e | athlete_match_94379ad33c0f97bc,merge as same athlete//,coherent_same_decision,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
2844,Tommy Nicolaou,2,Tom Nicolaou | Tommy Nicolaou,athlete_match_51315ea496af48b5 | athlete_country_f249a6756c836473,keep separate// | merge as same athlete/canonical country/GBR,coherent_row_level_variants,Repeated existing athlete suggestion reviewed; no technical duplicate review_id.
